batch_size,bc/prob_true_act,bc/batch,bc/ent_loss,bc/epoch,bc/l2_norm,bc/neglogp,bc/loss,bc/samples_so_far,bc/l2_loss,bc/entropy
2048,0.15239806473255157,23,-0.00279182568192482,1,470.2376708984375,1.8951668739318848,1.8923749923706055,49152,0.0,2.791825532913208
2048,0.16384592652320862,47,-0.002740192459896207,2,489.93798828125,1.8166751861572266,1.8139350414276123,98304,0.0,2.740192413330078
2048,0.1719774454832077,71,-0.002689413260668516,3,503.4539794921875,1.769939661026001,1.7672502994537354,147456,0.0,2.689413070678711
2048,0.18080362677574158,95,-0.002639546524733305,4,514.5371704101562,1.721745491027832,1.7191059589385986,196608,0.0,2.6395463943481445
2048,0.18929623067378998,119,-0.0025902320630848408,5,523.666259765625,1.6745061874389648,1.6719160079956055,245760,0.0,2.5902318954467773
2048,0.19865752756595612,143,-0.0025413313414901495,6,533.38720703125,1.6277282238006592,1.6251869201660156,294912,0.0,2.5413312911987305
2048,0.20743593573570251,167,-0.0024927565827965736,7,542.2703247070312,1.5852320194244385,1.582739233970642,344064,0.0,2.4927563667297363
2048,0.21745534241199493,191,-0.002444454235956073,8,550.9583740234375,1.541853427886963,1.5394089221954346,393216,0.0,2.4444541931152344
2048,0.22865842282772064,215,-0.002396403346210718,9,560.2305908203125,1.4875397682189941,1.4851434230804443,442368,0.0,2.3964033126831055
2048,0.23802119493484497,239,-0.002348638605326414,10,569.4210205078125,1.4480335712432861,1.4456849098205566,491520,0.0,2.3486385345458984
2048,0.24856722354888916,263,-0.002301036147400737,11,577.7545776367188,1.4121962785720825,1.4098953008651733,540672,0.0,2.3010361194610596
2048,0.25952404737472534,287,-0.002253693761304021,12,586.5471801757812,1.367375135421753,1.3651214838027954,589824,0.0,2.2536935806274414
2048,0.27052342891693115,311,-0.0022065506782382727,13,596.1100463867188,1.3286556005477905,1.3264490365982056,638976,0.0,2.2065505981445312
2048,0.28118008375167847,335,-0.0021595582365989685,14,608.5858154296875,1.290825366973877,1.288665771484375,688128,0.0,2.159558057785034
2048,0.2964690923690796,359,-0.002112829126417637,15,620.1543579101562,1.2390565872192383,1.2369437217712402,737280,0.0,2.1128289699554443
2048,0.3104398548603058,383,-0.0020663540344685316,16,631.5603637695312,1.1964521408081055,1.1943857669830322,786432,0.0,2.0663540363311768
2048,0.3202117681503296,407,-0.0020200354047119617,17,646.4467163085938,1.170710802078247,1.168690800666809,835584,0.0,2.0200352668762207
2048,0.33752769231796265,431,-0.0019740029238164425,18,661.1661376953125,1.1178576946258545,1.115883708000183,884736,0.0,1.9740028381347656
2048,0.34539932012557983,455,-0.0019282703287899494,19,678.4038696289062,1.088615894317627,1.0866875648498535,933888,0.0,1.9282702207565308
2048,0.36618995666503906,479,-0.0018827234162017703,20,694.9951171875,1.0368688106536865,1.034986138343811,983040,0.0,1.882723331451416
2048,0.37742000818252563,503,-0.0018373760394752026,21,712.7206420898438,1.009847640991211,1.0080102682113647,1032192,0.0,1.8373759984970093
2048,0.39544767141342163,527,-0.0017924600979313254,22,731.7643432617188,0.9667901396751404,0.9649977087974548,1081344,0.0,1.7924599647521973
2048,0.3629109859466553,551,-0.0017514093779027462,23,752.7247924804688,1.0385103225708008,1.0367588996887207,1130496,0.0,1.7514092922210693
2048,0.4128584861755371,575,-0.0017098670359700918,24,778.2326049804688,0.9242547750473022,0.9225448966026306,1179648,0.0,1.709867000579834
2048,0.44308435916900635,599,-0.0016662133857607841,25,787.9764404296875,0.8623818159103394,0.8607156276702881,1228800,0.0,1.6662132740020752
2048,0.45846909284591675,623,-0.0016223568236455321,26,792.341796875,0.8194894790649414,0.8178671002388,1277952,0.0,1.6223567724227905
2048,0.478829950094223,647,-0.001578679890371859,27,795.2844848632812,0.7845022678375244,0.7829235792160034,1327104,0.0,1.5786798000335693
2048,0.5000439882278442,671,-0.001535277348011732,28,798.0487670898438,0.7509105801582336,0.7493752837181091,1376256,0.0,1.535277247428894
2048,0.5069445371627808,695,-0.0014925082214176655,29,800.4052124023438,0.7437136173248291,0.7422211170196533,1425408,0.0,1.4925081729888916
2048,0.5339049100875854,719,-0.0014498417731374502,30,803.4228515625,0.6969648003578186,0.695514976978302,1474560,0.0,1.4498417377471924
2048,0.5589209794998169,743,-0.0014076171210035682,31,805.5234985351562,0.6654196381568909,0.6640120148658752,1523712,0.0,1.4076170921325684
2048,0.5771715641021729,767,-0.0013655475340783596,32,807.334228515625,0.6190864443778992,0.617720901966095,1572864,0.0,1.3655474185943604
2048,0.5982325673103333,791,-0.0013240814441815019,33,808.8662719726562,0.589540958404541,0.5882169008255005,1622016,0.0,1.3240814208984375
2048,0.6169784069061279,815,-0.0012830303749069571,34,810.6683959960938,0.5629611611366272,0.5616781115531921,1671168,0.0,1.2830302715301514
2048,0.6483609676361084,839,-0.0012424628948792815,35,812.9307861328125,0.5073502063751221,0.506107747554779,1720320,0.0,1.2424628734588623
2048,0.6672039031982422,863,-0.0012022426817566156,36,815.1552734375,0.4952332675457001,0.49403101205825806,1769472,0.0,1.2022426128387451
2048,0.6807770729064941,887,-0.0011624734615907073,37,817.0922241210938,0.4901701807975769,0.48900771141052246,1818624,0.0,1.162473440170288
2048,0.7163658738136292,911,-0.001123371534049511,38,819.9014282226562,0.42869317531585693,0.42756980657577515,1867776,0.0,1.1233714818954468
2048,0.738277792930603,935,-0.0010845621582120657,39,823.3446655273438,0.4180896282196045,0.4170050621032715,1916928,0.0,1.084562063217163
