bc/batch,batch_size,bc/prob_true_act,bc/samples_so_far,bc/entropy,bc/l2_loss,bc/epoch,bc/l2_norm,bc/loss,bc/neglogp,bc/ent_loss
208,2048,0.2277759113540933,428032,2.404499053955078,0.0,19,651.6129760742188,1.4888045617558041,1.4912090608563253,-0.002404499100521207
219,2048,0.23171508466469398,450560,2.381809949874878,0.0,20,663.2589111328125,1.4723072294815105,1.4746890394686383,-0.002381809987127781
230,2048,0.23760905121559983,473088,2.3592028617858887,0.0,21,674.9033203125,1.4454361761996781,1.4477953792626297,-0.002359203062951565
241,2048,0.2425160921397513,495616,2.336627244949341,0.0,22,687.2567138671875,1.4279256116404229,1.4302622389785045,-0.0023366273380815983
252,2048,0.2480655015252847,518144,2.314110517501831,0.0,23,700.0482788085938,1.4028201037701447,1.4051342142895091,-0.002314110519364476
263,2048,0.252470737262317,540672,2.291623115539551,0.0,24,714.4249267578125,1.3881576143834047,1.3904492376535438,-0.002291623270139098
274,2048,0.26012861907349727,563200,2.2692055702209473,0.0,25,728.7905883789062,1.3563498910750762,1.3586190967123524,-0.0022692056372761726
285,2048,0.26542856911351664,585728,2.2468385696411133,0.0,26,743.3700561523438,1.3361586995577213,1.3384055383192148,-0.0022468387614935637
296,2048,0.26989592060532724,608256,2.2245051860809326,0.0,27,758.3900146484375,1.3217400794807304,1.3239645846612234,-0.002224505180492997
307,2048,0.2772443074264658,630784,2.2022712230682373,0.0,28,773.8448486328125,1.2959569090558194,1.2981591803068273,-0.0022022712510079145
318,2048,0.2829025500513798,653312,2.180030107498169,0.0,29,789.2229614257812,1.2725023529862034,1.2746823830899763,-0.0021800301037728786
329,2048,0.2871492142865427,675840,2.1578335762023926,0.0,30,804.8506469726562,1.2609683302727763,1.2631261639327978,-0.0021578336600214243
340,2048,0.29388908208231534,698368,2.1356730461120605,0.0,31,820.8598022460938,1.237429403596603,1.239565076668792,-0.0021356730721890926
351,2048,0.300869872081028,720896,2.1135475635528564,0.0,32,836.7503051757812,1.2146057680330826,1.2167193156748666,-0.0021135476417839527
362,2048,0.30859936516257547,743424,2.091489791870117,0.0,33,853.1480712890625,1.185968248359401,1.188059738324497,-0.002091489965096116
373,2048,0.31533101468550173,765952,2.069470167160034,0.0,34,869.572265625,1.1691669857106892,1.1712364559504924,-0.002069470239803195
384,2048,0.3226293280161334,788480,2.0474483966827393,0.0,35,886.4457397460938,1.1422386184562714,1.1442860668753059,-0.002047448419034481
395,2048,0.3277085642711417,811008,2.025424003601074,0.0,36,903.8707885742188,1.1301655229783463,1.132190947015475,-0.002025424037128687
406,2048,0.33336125750668255,833536,2.0034332275390625,0.0,37,921.8914794921875,1.1151639151234987,1.1171673485391649,-0.0020034334156662226
417,2048,0.34163931649486823,856064,1.9815380573272705,0.0,38,939.4611206054688,1.087751924847646,1.0897334631024136,-0.0019815382547676563
428,2048,0.34908996387857416,878592,1.9596669673919678,0.0,39,957.2030029296875,1.0672232353744695,1.069182902449895,-0.0019596670754253864
439,2048,0.35872287822714666,901120,1.937793493270874,0.0,40,974.8516845703125,1.0394652030708174,1.041402996638594,-0.00193779356777668
450,2048,0.36406419145946023,923648,1.9159536361694336,0.0,41,993.2467651367188,1.0268520403821537,1.0287679940863097,-0.0019159537041559815
461,2048,0.373691711763384,946176,1.894127368927002,0.0,42,1011.0739135742188,0.9989628649035571,1.000856992364685,-0.0018941274611279368
472,2048,0.3784382998915052,968704,1.8723161220550537,0.0,43,1029.7369384765625,0.9895153458182514,0.9913876620539278,-0.0018723162356764078
483,2048,0.3857919154130685,991232,1.8505622148513794,0.0,44,1047.592041015625,0.9714435684291362,0.9732941307156994,-0.0018505622865632176
494,2048,0.39582428094048544,1013760,1.8288719654083252,0.0,45,1066.6715087890625,0.9468530128650225,0.9486818848816536,-0.0018288720166310668
505,2048,0.4041656888893772,1036288,1.8071951866149902,0.0,46,1084.7940673828125,0.9216755882149459,0.9234827834658221,-0.0018071952508762479
516,2048,0.4126017892974142,1058816,1.7854530811309814,0.0,47,1102.5997314453125,0.905506760239821,0.9072922134159469,-0.001785453176125884
527,2048,0.4222607510766464,1081344,1.7637488842010498,0.0,48,1121.0621337890625,0.8803436158934662,0.8821073648298213,-0.001763748936355114
538,2048,0.43140045770993585,1103872,1.7421467304229736,0.0,49,1139.7374267578125,0.8585016841063696,0.8602438308991912,-0.0017421467928215861
549,2048,0.43539249431085014,1126400,1.7205464839935303,0.0,50,1158.8641357421875,0.8510629880236664,0.8527835345355996,-0.0017205465119332075
560,2048,0.44872893562049454,1148928,1.6989812850952148,0.0,51,1176.6702880859375,0.8164468966330297,0.8181458780215017,-0.0016989813884720206
571,2048,0.4601680299222817,1171456,1.6773384809494019,0.0,52,1194.5802001953125,0.7977623711127675,0.7994397097287587,-0.0016773386159911752
582,2048,0.46770418989417284,1193984,1.6556751728057861,0.0,53,1211.41015625,0.7819148738895811,0.7835705491275795,-0.0016556752379983664
593,2048,0.4766257561044065,1216512,1.6340715885162354,0.0,54,1228.4599609375,0.7630270092021785,0.7646610808996595,-0.0016340716974809766
604,2048,0.48640627665149927,1239040,1.6125504970550537,0.0,55,1246.194580078125,0.7408781970974834,0.7424907476764948,-0.0016125505790114403
615,2048,0.4951558011685159,1261568,1.5911047458648682,0.0,56,1263.13916015625,0.7292118263665146,0.7308029311477697,-0.001591104781255126
626,2048,0.5087889358805375,1284096,1.5695891380310059,0.0,57,1279.779052734375,0.6957961615315383,0.6973657507822594,-0.0015695892507210374
637,2048,0.5223143541851332,1306624,1.5480090379714966,0.0,58,1297.2735595703125,0.6707575924424802,0.6723056015521636,-0.0015480091096833348
648,2048,0.5291223539120297,1329152,1.5263397693634033,0.0,59,1314.4515380859375,0.6587313097065002,0.6602576495010093,-0.0015263397945091128
