bc/loss,bc/entropy,bc/l2_norm,bc/neglogp,bc/epoch,batch_size,bc/prob_true_act,bc/ent_loss,bc/batch,bc/samples_so_far,bc/l2_loss
2.0907359942716686,2.8343873023986816,443.1573181152344,2.093570381628084,1,2048,0.13086062241906155,-0.002834387356415391,10,22528,0.0
2.0565024988416063,2.818310260772705,465.7866516113281,2.0593208092420774,2,2048,0.13084702632732462,-0.0028183104004710913,21,45056,0.0
2.0094585746734275,2.7982068061828613,477.4078674316406,2.012256781544803,3,2048,0.1387118225379212,-0.0027982068713754416,32,67584,0.0
1.9420924566563442,2.7766079902648926,484.1517028808594,1.9448690647602305,4,2048,0.14721030947698865,-0.0027766081038862467,43,90112,0.0
1.8553851066136247,2.753729820251465,489.8260498046875,1.8581388365456348,5,2048,0.1574611302531735,-0.002753729932010174,54,112640,0.0
1.8233064268600319,2.7300004959106445,494.13494873046875,1.8260364273913328,6,2048,0.1624412540776869,-0.0027300005313009024,65,135168,0.0
1.78432973734495,2.7061033248901367,498.3873291015625,1.7870358408374782,7,2048,0.16858934418900223,-0.0027061034925282,76,157696,0.0
1.7607378808199026,2.6822726726531982,502.8756408691406,1.7634201536303915,8,2048,0.1726299219018158,-0.0026822728104889393,87,180224,0.0
1.7406647680773775,2.6585793495178223,507.7334899902344,1.743323347575907,9,2048,0.17635013584914927,-0.002658579498529434,98,202752,0.0
1.711406704363475,2.6350388526916504,513.4913940429688,1.7140417432869473,10,2048,0.18152596006044636,-0.002635038923472166,109,225280,0.0
1.6892086470934897,2.6116433143615723,518.9531860351562,1.6918202904953956,11,2048,0.18576256840765126,-0.0026116434019058943,120,247808,0.0
1.6647440503513056,2.588369846343994,524.6569213867188,1.6673324202349025,12,2048,0.19045208149468604,-0.002588369883596897,131,270336,0.0
1.642161236345244,2.565244197845459,530.9027709960938,1.6447264805579906,13,2048,0.19473932689102655,-0.00256524421274662,142,292864,0.0
1.6218506783346174,2.5422353744506836,537.3966064453125,1.6243929137574968,14,2048,0.19858080960156824,-0.0025422354228794575,153,315392,0.0
1.5999545517915734,2.5193493366241455,544.2685546875,1.6024739013591656,15,2048,0.2032970990313585,-0.002519349567592144,164,337920,0.0
1.5790528866214897,2.4965333938598633,552.03759765625,1.5815494201829876,16,2048,0.2078540853035954,-0.0024965335614979267,175,360448,0.0
1.5566156020668747,2.4737844467163086,559.8754272460938,1.5590893866775037,17,2048,0.2124990835307095,-0.0024737846106290817,186,382976,0.0
1.5310923162042096,2.4510769844055176,568.3760375976562,1.5335433933078244,18,2048,0.21779664007122296,-0.002451077103614807,197,405504,0.0
1.5149493622590666,2.4284284114837646,577.3544311523438,1.51737779076182,19,2048,0.22133450384196343,-0.002428428502753377,208,428032,0.0
1.4943257358318063,2.405867099761963,587.2515869140625,1.4967316030451896,20,2048,0.22626962668074377,-0.002405867213383317,219,450560,0.0
1.4732115320669488,2.383371114730835,597.2532958984375,1.4755949031835423,21,2048,0.2316810806979423,-0.00238337111659348,230,473088,0.0
1.4470050253908862,2.3609390258789062,607.7633666992188,1.4493659644391168,22,2048,0.237798711410586,-0.002360939048230648,241,495616,0.0
1.4259278530508401,2.338550567626953,618.3526000976562,1.428266403802869,23,2048,0.24240734791908136,-0.002338550752028823,252,518144,0.0
1.4116936479751399,2.3162174224853516,629.7136840820312,1.4140098656118294,24,2048,0.24619859208721656,-0.0023162176366895437,263,540672,0.0
1.3877195909390463,2.2939505577087402,640.8882446289062,1.3900135415842994,25,2048,0.25261558353184155,-0.0022939506452530622,274,563200,0.0
1.3627206937584315,2.2717204093933105,653.232177734375,1.3649924141994898,26,2048,0.2587160426187395,-0.002271720441058278,285,585728,0.0
1.3430087980093885,2.2494966983795166,666.1392211914062,1.34525829476551,27,2048,0.2640848744348244,-0.0022494967561215162,296,608256,0.0
1.323558789494592,2.2273178100585938,679.2792358398438,1.325786107502091,28,2048,0.2695692343787397,-0.0022273180074989796,307,630784,0.0
1.3010665609153174,2.2051732540130615,693.7247314453125,1.3032717341674678,29,2048,0.27543868987622244,-0.0022051732521504164,318,653312,0.0
1.2810868099785762,2.183084011077881,708.42529296875,1.2832698941219018,30,2048,0.28154527150417663,-0.0021830841433256865,329,675840,0.0
1.262200170143378,2.1610424518585205,723.5511474609375,1.2643612126753303,31,2048,0.2867903058476679,-0.002161042531952262,340,698368,0.0
1.2394040845988812,2.1390023231506348,738.4993286132812,1.2415430869164439,32,2048,0.29365696666103513,-0.0021390023175626993,351,720896,0.0
1.213420587894144,2.1170265674591064,754.535888671875,1.2155376144914054,33,2048,0.3007688861041805,-0.002117026597261429,362,743424,0.0
1.1906190419768605,2.095038652420044,770.64208984375,1.1927140807466272,34,2048,0.3078883944901938,-0.0020950387697666883,373,765952,0.0
1.1811430933549452,2.0730605125427246,787.8003540039062,1.1832161540761041,35,2048,0.31238470219585657,-0.0020730607211589813,384,788480,0.0
1.1579052257229625,2.0511739253997803,804.8855590820312,1.159956399665126,36,2048,0.3190145838312335,-0.0020511739421635866,395,811008,0.0
1.1282352732158234,2.029358386993408,822.6122436523438,1.1302646316251685,37,2048,0.3273199254948381,-0.00202935840934515,406,833536,0.0
1.1275914200286459,2.0075066089630127,839.7911987304688,1.1295989268164228,38,2048,0.3303153933951184,-0.002007506787776947,417,856064,0.0
1.096826255686544,1.9856841564178467,857.2460327148438,1.0988119399565832,39,2048,0.3394443780812285,-0.0019856842700392008,428,878592,0.0
1.0780826393620877,1.9638701677322388,875.8628540039062,1.080046509729123,40,2048,0.34594931591315764,-0.0019638703670352697,439,901120,0.0
