batch_size,bc/loss,bc/samples_so_far,bc/epoch,bc/ent_loss,bc/l2_norm,bc/entropy,bc/batch,bc/prob_true_act,bc/neglogp,bc/l2_loss
2048,1.869505524635315,49152,1,-0.002791878767311573,469.9420166015625,2.7918787002563477,23,0.15497145056724548,1.8722974061965942,0.0
2048,1.8129791021347046,98304,2,-0.0027400848921388388,487.6564025878906,2.740084648132324,47,0.16422834992408752,1.8157191276550293,0.0
2048,1.7693432569503784,147456,3,-0.0026891203597187996,496.847900390625,2.689120292663574,71,0.1718706488609314,1.772032380104065,0.0
2048,1.722009539604187,196608,4,-0.0026390664279460907,503.2317810058594,2.639066219329834,95,0.17974074184894562,1.7246485948562622,0.0
2048,1.66562020778656,245760,5,-0.002589644631370902,508.3864440917969,2.589644432067871,119,0.19021299481391907,1.6682099103927612,0.0
2048,1.623670220375061,294912,6,-0.0025406689383089542,512.2412109375,2.5406687259674072,143,0.1985277384519577,1.6262109279632568,0.0
2048,1.5862925052642822,344064,7,-0.00249200826510787,516.0704956054688,2.4920082092285156,167,0.20716071128845215,1.5887844562530518,0.0
2048,1.5422463417053223,393216,8,-0.0024436279200017452,520.1600341796875,2.4436278343200684,191,0.21654637157917023,1.5446900129318237,0.0
2048,1.4794310331344604,442368,9,-0.0023955742362886667,524.1866455078125,2.3955740928649902,215,0.2296406328678131,1.481826663017273,0.0
2048,1.4512591361999512,491520,10,-0.0023476697970181704,529.5477294921875,2.3476696014404297,239,0.2373967170715332,1.4536068439483643,0.0
2048,1.4074712991714478,540672,11,-0.002300088992342353,535.17529296875,2.300088882446289,263,0.24831223487854004,1.40977144241333,0.0
2048,1.3611763715744019,589824,12,-0.002252696081995964,542.5257568359375,2.2526960372924805,287,0.2607218623161316,1.363429069519043,0.0
2048,1.334450602531433,638976,13,-0.002205465454608202,549.4086303710938,2.205465316772461,311,0.2705022692680359,1.336656093597412,0.0
2048,1.2816052436828613,688128,14,-0.00215854961425066,555.8182373046875,2.1585495471954346,335,0.2818591892719269,1.2837637662887573,0.0
2048,1.2413743734359741,737280,15,-0.0021118607837706804,563.2753295898438,2.111860752105713,359,0.29498156905174255,1.2434862852096558,0.0
2048,1.2042652368545532,786432,16,-0.0020653209649026394,573.4324951171875,2.0653209686279297,383,0.30878254771232605,1.2063305377960205,0.0
2048,1.1609805822372437,835584,17,-0.0020190768409520388,583.9854736328125,2.0190768241882324,407,0.3212781548500061,1.1629996299743652,0.0
2048,1.1122766733169556,884736,18,-0.001972986152395606,596.7907104492188,1.9729859828948975,431,0.33630555868148804,1.1142497062683105,0.0
2048,1.0833497047424316,933888,19,-0.0019271224737167358,608.479248046875,1.9271223545074463,455,0.3488045930862427,1.0852768421173096,0.0
2048,1.044937252998352,983040,20,-0.001881514210253954,621.433837890625,1.881514072418213,479,0.3622366189956665,1.046818733215332,0.0
2048,0.9854363203048706,1032192,21,-0.0018362072296440601,637.49658203125,1.8362071514129639,503,0.38296735286712646,0.9872725009918213,0.0
2048,0.9561410546302795,1081344,22,-0.0017911697505041957,654.7994995117188,1.7911696434020996,527,0.39649030566215515,0.9579322338104248,0.0
2048,0.9335790872573853,1130496,23,-0.0017465256387367845,674.8348388671875,1.746525526046753,551,0.407440721988678,0.9353256225585938,0.0
2048,0.8835530281066895,1179648,24,-0.001704905298538506,693.8973999023438,1.7049052715301514,575,0.4309256672859192,0.8852579593658447,0.0
2048,0.8612615466117859,1228800,25,-0.0016621515387669206,710.28759765625,1.6621514558792114,599,0.44404590129852295,0.8629236817359924,0.0
2048,0.8341789245605469,1277952,26,-0.0016186009161174297,714.8588256835938,1.618600845336914,623,0.4565843939781189,0.8357975482940674,0.0
2048,0.7974712252616882,1327104,27,-0.0015750358579680324,718.71826171875,1.575035810470581,647,0.4783039093017578,0.7990462779998779,0.0
2048,0.7507468461990356,1376256,28,-0.0015317883808165789,722.1025390625,1.5317883491516113,671,0.5013158321380615,0.7522786259651184,0.0
2048,0.7056415677070618,1425408,29,-0.0014887560391798615,726.1116943359375,1.4887559413909912,695,0.52227783203125,0.7071303129196167,0.0
2048,0.6896502375602722,1474560,30,-0.0014460819074884057,730.7333374023438,1.4460818767547607,719,0.5351688861846924,0.691096305847168,0.0
2048,0.6696892976760864,1523712,31,-0.0014037395594641566,736.0435791015625,1.4037394523620605,743,0.5504516363143921,0.6710930466651917,0.0
2048,0.6081125140190125,1572864,32,-0.0013618830125778913,742.53271484375,1.3618829250335693,767,0.5801423788070679,0.6094744205474854,0.0
2048,0.5849254131317139,1622016,33,-0.0013205035356804729,751.0994873046875,1.3205034732818604,791,0.6056209802627563,0.5862458944320679,0.0
2048,0.5778366327285767,1671168,34,-0.0012792921625077724,760.81201171875,1.279292106628418,815,0.6150358319282532,0.5791159272193909,0.0
2048,0.525721549987793,1720320,35,-0.0012388681061565876,770.3990478515625,1.238867998123169,839,0.647544801235199,0.5269604325294495,0.0
2048,0.49523887038230896,1769472,36,-0.001198884448967874,780.5003662109375,1.19888436794281,863,0.6538331508636475,0.49643775820732117,0.0
2048,0.46643346548080444,1818624,37,-0.0011592752998694777,792.4500732421875,1.1592752933502197,887,0.6920604705810547,0.4675927460193634,0.0
2048,0.438048392534256,1867776,38,-0.0011200543958693743,805.5493774414062,1.1200543642044067,911,0.7062647342681885,0.43916845321655273,0.0
2048,0.43430832028388977,1916928,39,-0.001081388327293098,821.9199829101562,1.081388235092163,935,0.7334475517272949,0.4353896975517273,0.0
