bc/neglogp,bc/epoch,bc/l2_loss,bc/loss,bc/prob_true_act,bc/batch,bc/ent_loss,bc/l2_norm,bc/entropy,bc/samples_so_far,batch_size
2.2195277214050293,0,0.0,2.2166898250579834,0.11257673799991608,0,-0.002837877254933119,128.50010681152344,2.837877035140991,1024,1024
2.1239657402038574,0,0.0,2.121176242828369,0.12389056384563446,24,-0.0027894550003111362,202.28285217285156,2.789454936981201,25600,1024
2.084203004837036,0,0.0,2.0814619064331055,0.12826019525527954,48,-0.0027412029448896646,214.0725555419922,2.7412028312683105,50176,1024
2.045396327972412,1,0.0,2.0427024364471436,0.13390964269638062,72,-0.002693967428058386,215.37265014648438,2.693967342376709,74752,1024
2.025761127471924,1,0.0,2.02311372756958,0.13714462518692017,96,-0.0026475165504962206,215.4957275390625,2.6475164890289307,99328,1024
1.98868989944458,1,0.0,1.9860879182815552,0.14267098903656006,120,-0.002602039836347103,215.5146942138672,2.6020398139953613,123904,1024
1.9664908647537231,2,0.0,1.9639333486557007,0.14633722603321075,144,-0.002557575237005949,215.53311157226562,2.557575225830078,148480,1024
1.9339102506637573,2,0.0,1.9313963651657104,0.1516074389219284,168,-0.0025139437057077885,215.53309631347656,2.513943672180176,173056,1024
1.9266798496246338,3,0.0,1.9242085218429565,0.15405233204364777,192,-0.002471314975991845,215.53358459472656,2.4713149070739746,197632,1024
1.8868341445922852,3,0.0,1.8844044208526611,0.16037729382514954,216,-0.0024297614581882954,215.53160095214844,2.4297614097595215,222208,1024
1.888817310333252,3,0.0,1.886427879333496,0.1612611562013626,240,-0.002389437286183238,215.5358123779297,2.389437198638916,246784,1024
1.8616485595703125,4,0.0,1.8592984676361084,0.16661888360977173,264,-0.002350074937567115,215.5499725341797,2.3500747680664062,271360,1024
1.849448561668396,4,0.0,1.8471369743347168,0.1692718267440796,288,-0.0023116290103644133,215.54612731933594,2.311628818511963,295936,1024
1.8031222820281982,4,0.0,1.800847053527832,0.17683932185173035,312,-0.002275187987834215,215.5270538330078,2.2751879692077637,320512,1024
1.7712695598602295,5,0.0,1.7690300941467285,0.1826322376728058,336,-0.0022394901607185602,215.55758666992188,2.239490032196045,345088,1024
1.7861897945404053,5,0.0,1.783984899520874,0.1822168231010437,360,-0.002204893622547388,215.55828857421875,2.2048935890197754,369664,1024
1.7660549879074097,6,0.0,1.7638827562332153,0.18610838055610657,384,-0.002172257984057069,215.4907989501953,2.172257900238037,394240,1024
1.710956335067749,6,0.0,1.7088156938552856,0.1962330937385559,408,-0.0021406649611890316,215.5216064453125,2.14066481590271,418816,1024
1.7357090711593628,6,0.0,1.733599066734314,0.19347378611564636,432,-0.0021099725272506475,215.5998077392578,2.1099724769592285,443392,1024
1.6842869520187378,7,0.0,1.6822060346603394,0.20217159390449524,456,-0.0020809751003980637,215.55072021484375,2.08097505569458,467968,1024
1.6996333599090576,7,0.0,1.697580337524414,0.2024277150630951,480,-0.00205308198928833,215.60592651367188,2.05308198928833,492544,1024
1.6946085691452026,7,0.0,1.692582368850708,0.20437490940093994,504,-0.0020262228790670633,215.56993103027344,2.0262227058410645,517120,1024
1.6868335008621216,8,0.0,1.68483304977417,0.20542876422405243,528,-0.002000427572056651,215.61245727539062,2.000427484512329,541696,1024
1.6496286392211914,8,0.0,1.6476526260375977,0.21376782655715942,552,-0.0019759766291826963,215.5778350830078,1.9759764671325684,566272,1024
1.655012845993042,9,0.0,1.6530605554580688,0.2127031534910202,576,-0.0019522644579410553,215.5893096923828,1.9522643089294434,590848,1024
1.6272552013397217,9,0.0,1.625325322151184,0.22127202153205872,600,-0.0019299170235171914,215.59974670410156,1.9299169778823853,615424,1024
1.6136112213134766,9,0.0,1.6117031574249268,0.22347354888916016,624,-0.0019081152277067304,215.6457977294922,1.9081151485443115,640000,1024
1.6375653743743896,10,0.0,1.6356781721115112,0.22042590379714966,648,-0.0018871498759835958,215.6403350830078,1.8871498107910156,664576,1024
1.5871760845184326,10,0.0,1.5853087902069092,0.2287217527627945,672,-0.0018673059530556202,215.6371612548828,1.867305874824524,689152,1024
1.5924030542373657,10,0.0,1.5905550718307495,0.23156015574932098,696,-0.0018479671562090516,215.6263885498047,1.8479670286178589,713728,1024
1.6168832778930664,11,0.0,1.615053653717041,0.2290920913219452,720,-0.0018296687630936503,215.64825439453125,1.829668641090393,738304,1024
1.587691068649292,11,0.0,1.5858794450759888,0.23544064164161682,744,-0.0018116625724360347,215.6360321044922,1.8116624355316162,762880,1024
1.5697518587112427,12,0.0,1.5679574012756348,0.23478928208351135,768,-0.0017944283317774534,215.70652770996094,1.7944282293319702,787456,1024
1.5414589643478394,12,0.0,1.5396816730499268,0.24577167630195618,792,-0.001777267549186945,215.65798950195312,1.7772674560546875,812032,1024
1.6057363748550415,12,0.0,1.603974461555481,0.23536133766174316,816,-0.0017619563732296228,215.65480041503906,1.7619563341140747,836608,1024
1.5810630321502686,13,0.0,1.5793161392211914,0.2395072877407074,840,-0.0017468672012910247,215.68687438964844,1.746867060661316,861184,1024
1.5294989347457886,13,0.0,1.5277658700942993,0.24797406792640686,864,-0.0017330136615782976,215.7166290283203,1.73301362991333,885760,1024
1.5734449625015259,13,0.0,1.5717270374298096,0.24133515357971191,888,-0.0017179625574499369,215.6763916015625,1.7179625034332275,910336,1024
1.5513172149658203,14,0.0,1.5496124029159546,0.2481488436460495,912,-0.0017048204317688942,215.73057556152344,1.7048203945159912,934912,1024
1.5548593997955322,14,0.0,1.5531680583953857,0.24805252254009247,936,-0.0016913822619244456,215.74937438964844,1.6913821697235107,959488,1024
