batch_size,bc/loss,bc/samples_so_far,bc/epoch,bc/ent_loss,bc/l2_norm,bc/entropy,bc/batch,bc/prob_true_act,bc/neglogp,bc/l2_loss
2048,2.1918391825383883,20480,1,-0.002834866289049387,442.5724792480469,2.8348660469055176,9,0.11424824275665334,2.1946740488274377,0.0
2048,2.0861274517540096,40960,2,-0.0028201087843626738,469.9781494140625,2.820108652114868,19,0.1284024319963216,2.0889475605383723,0.0
2048,1.9451955803769296,61440,3,-0.0028005950152873993,485.1094055175781,2.8005948066711426,29,0.14397835826847266,1.947996175392217,0.0
2048,1.885710182123293,81920,4,-0.002779190195724368,493.4160461425781,2.7791900634765625,39,0.15251188389188453,1.8884893723190175,0.0
2048,1.8605755992163524,102400,5,-0.0027571599930524826,499.708251953125,2.757159948348999,49,0.15673221481738145,1.8633327592094049,0.0
2048,1.8287319396519202,122880,6,-0.0027350487653166056,504.2542724609375,2.735048532485962,59,0.1615599697227662,1.8314669884172368,0.0
2048,1.8062682680137456,143360,7,-0.002713059540838003,507.7753601074219,2.713059425354004,69,0.16544371383657622,1.8089813275545836,0.0
2048,1.7775316649394373,163840,8,-0.002691255183890462,510.6998596191406,2.6912550926208496,79,0.16992582225881386,1.7802229201233277,0.0
2048,1.757674001058226,184320,9,-0.0026696331333369017,512.85302734375,2.669632911682129,89,0.17350003632454358,1.7603436341915628,0.0
2048,1.7332432019034592,204800,10,-0.0026482054963707924,514.5162353515625,2.648205280303955,99,0.17761901318882845,1.73589140739983,0.0
2048,1.7152763504833919,225280,11,-0.0026269368827342987,515.963623046875,2.626936674118042,109,0.1810928243947329,1.7179032873661262,0.0
2048,1.6998799328680114,245760,12,-0.002605813555419445,517.417236328125,2.605813503265381,119,0.18418167217230635,1.7024857464234309,0.0
2048,1.6734965326227438,266240,13,-0.0025848359800875187,518.9210205078125,2.5848357677459717,129,0.18860045268693615,1.6760813686028313,0.0
2048,1.6554285771894968,286720,14,-0.0025639727246016264,520.561767578125,2.5639727115631104,139,0.19246142230408003,1.6579925499140984,0.0
2048,1.6376887358036327,307200,15,-0.0025432168040424585,522.5333251953125,2.5432167053222656,149,0.19582085041440062,1.6402319526076752,0.0
2048,1.6155192716283322,327680,16,-0.0025225463323295116,524.9281005859375,2.5225462913513184,159,0.2001901180657671,1.6180418179606617,0.0
2048,1.595619173179273,348160,17,-0.002501940354704857,528.0452270507812,2.5019402503967285,169,0.2042098464444787,1.598121113533978,0.0
2048,1.5804002629391045,368640,18,-0.0024814382195472717,531.7302856445312,2.481438159942627,179,0.20746503942556807,1.5828817011586518,0.0
2048,1.566046933624549,389120,19,-0.002460983581840992,535.9931030273438,2.4609835147857666,189,0.21092932987534926,1.56850791720639,0.0
2048,1.5485271129248372,409600,20,-0.0024405699223279953,541.0623779296875,2.4405698776245117,199,0.21483083446321838,1.5509676828471652,0.0
2048,1.5256980181014623,430080,21,-0.002420199103653431,546.758544921875,2.420198917388916,209,0.2195368520830925,1.5281182172051158,0.0
2048,1.5055445423882752,450560,22,-0.002399895805865526,552.0545043945312,2.399895668029785,219,0.2241866293787786,1.5079444381941407,0.0
2048,1.4819253509808399,471040,23,-0.002379633951932192,557.7520751953125,2.379633903503418,229,0.22920574052842851,1.484304984932772,0.0
2048,1.4683780748681745,491520,24,-0.0023594223894178867,563.36669921875,2.359422206878662,239,0.23322322901279707,1.4707374972575924,0.0
2048,1.4450926072780388,512000,25,-0.0023392392322421074,569.0987548828125,2.3392391204833984,249,0.23817962976494245,1.447431846510281,0.0
2048,1.4338672926935652,532480,26,-0.0023191110230982304,574.6068115234375,2.319110870361328,259,0.24106780523748023,1.4361864037166634,0.0
2048,1.4144909055961836,552960,27,-0.002299014711752534,580.2843627929688,2.2990145683288574,269,0.2459641319462175,1.4167899203079362,0.0
2048,1.3952003545798837,573440,28,-0.0022789551876485348,586.3027954101562,2.2789549827575684,279,0.25057960602916113,1.3974793097675322,0.0
2048,1.3684641154194237,593920,29,-0.002258972031995654,593.3614501953125,2.258971929550171,289,0.2570401954806767,1.3707230874514194,0.0
2048,1.3588326212435007,614400,30,-0.00223898864351213,601.5084228515625,2.2389886379241943,299,0.2605530499816636,1.3610716098870128,0.0
2048,1.3358071910399456,634880,31,-0.0022190306335687637,611.5996704101562,2.2190306186676025,309,0.2662026186886086,1.3380262216735144,0.0
2048,1.3141294392046035,655360,32,-0.0021990949753671885,623.6458129882812,2.199094772338867,319,0.27161455652883215,1.3163285341799706,0.0
2048,1.2959766541806172,675840,33,-0.002179187024012208,636.0618286132812,2.1791868209838867,329,0.27732472481012427,1.2981558412046295,0.0
2048,1.277920457351017,696320,34,-0.0021592958364635706,649.2780151367188,2.1592957973480225,339,0.2820260990793367,1.2800797531874806,0.0
2048,1.2659203142428714,716800,35,-0.0021394286304712296,663.9517211914062,2.1394286155700684,349,0.28640023066036,1.2680597428733427,0.0
2048,1.2536995459152882,737280,36,-0.0021196051966398954,679.4225463867188,2.11960506439209,359,0.2895394179560644,1.255819151111928,0.0
2048,1.222797054871759,757760,37,-0.002099825069308281,695.8150024414062,2.099824905395508,369,0.2984957616739994,1.2248968799410673,0.0
2048,1.2050846365351722,778240,38,-0.002080012811347842,713.9348754882812,2.080012798309326,379,0.30420549869712954,1.20716464934652,0.0
2048,1.1878119321501361,798720,39,-0.002060189377516508,733.7363891601562,2.0601892471313477,389,0.30973352856918457,1.1898721215276526,0.0
2048,1.1805262124742724,819200,40,-0.0020403824746608734,757.5404663085938,2.0403823852539062,399,0.31350357937495354,1.1825665949489332,0.0
