bc/samples_so_far,bc/l2_norm,bc/neglogp,bc/batch,bc/entropy,bc/ent_loss,bc/prob_true_act,bc/l2_loss,bc/loss,bc/epoch,batch_size
20480,441.4141845703125,2.1941858808411188,9,2.8202972412109375,-0.0028202973771840334,0.12142493279515122,0.0,2.1913655834639347,1,2048
40960,462.6282043457031,2.0234539661417186,19,2.7991726398468018,-0.0027991728857159615,0.13689469230640675,0.0,2.0206547932560026,2,2048
61440,480.1321105957031,1.9003626073228757,29,2.7769904136657715,-0.00277699064463377,0.1511832115126962,0.0,1.8975856166782419,3,2048
81920,493.89788818359375,1.8565820245777283,39,2.7543158531188965,-0.0027543159667402506,0.15738783145205587,0.0,1.853827708610988,4,2048
102400,508.6938781738281,1.8234605053822885,49,2.7316794395446777,-0.0027316794730722904,0.16243943523912238,0.0,1.8207288259092163,5,2048
122880,522.19140625,1.7979140554262758,59,2.70926570892334,-0.002709265798330307,0.16677156796729542,0.0,1.7952047896279455,6,2048
143360,535.878173828125,1.777366829319575,69,2.6870996952056885,-0.0026870998553931713,0.17047377706398387,0.0,1.7746797294641818,7,2048
163840,549.0615844726562,1.748629174823047,79,2.6651883125305176,-0.0026651883963495493,0.17515867695369464,0.0,1.7459639864266974,8,2048
184320,561.068603515625,1.722591739666141,89,2.643481731414795,-0.0026434818282723427,0.17979814059359378,0.0,1.7199482578378686,9,2048
204800,573.2967529296875,1.6984560631364434,99,2.621962070465088,-0.00262196222320199,0.18408395462330965,0.0,1.6958341009132414,10,2048
225280,587.14208984375,1.6745428952167372,109,2.600590705871582,-0.002600590931251645,0.18850373861998487,0.0,1.6719423042854855,11,2048
245760,601.9345092773438,1.661532661815084,119,2.5793542861938477,-0.0025793544482439756,0.1913029865678859,0.0,1.65895330736684,12,2048
266240,614.7461547851562,1.6516072105785882,129,2.558335304260254,-0.002558335429057479,0.19296837334422934,0.0,1.6490488751495307,13,2048
286720,627.4073486328125,1.6215186705856222,139,2.537491798400879,-0.002537491964176297,0.19889522374620017,0.0,1.6189811786214459,14,2048
307200,637.7494506835938,1.6076018233342744,149,2.5166678428649902,-0.0025166680570691824,0.20216379016184732,0.0,1.6050851552772052,15,2048
327680,648.5161743164062,1.5772691601802067,159,2.495884895324707,-0.0024958851281553507,0.20779884586430786,0.0,1.5747732750520513,16,2048
348160,660.8820190429688,1.5595814209728132,169,2.4751598834991455,-0.002475159941241145,0.21197375167159882,0.0,1.557106261031572,17,2048
368640,673.3926391601562,1.5463559334880523,179,2.454475164413452,-0.0024544752668589354,0.21513665335087476,0.0,1.5439014582211934,18,2048
389120,686.092529296875,1.520744955134326,189,2.433846950531006,-0.0024338471703231335,0.2205334269895366,0.0,1.5183111079640028,19,2048
409600,699.3840942382812,1.499578835141893,199,2.4132637977600098,-0.0024132640101015568,0.2251647585749561,0.0,1.4971655711317915,20,2048
430080,713.867919921875,1.4847401240812723,209,2.392706871032715,-0.0023927069269120693,0.22850311380491434,0.0,1.4823474171543602,21,2048
450560,729.5035400390625,1.4616547097123176,219,2.3722033500671387,-0.0023722033947706223,0.23426348023995505,0.0,1.459282506317547,22,2048
471040,745.869140625,1.4416591801109961,229,2.35172700881958,-0.0023517271038144827,0.23856854113856735,0.0,1.4393074530071817,23,2048
491520,762.8074340820312,1.4204570592115875,239,2.331294298171997,-0.0023312943521887064,0.2437161887215565,0.0,1.4181257648593988,24,2048
512000,780.4083862304688,1.407637491238877,249,2.3109018802642822,-0.0023109018802642822,0.247371504400393,0.0,1.4053265893586127,25,2048
532480,798.6868286132812,1.3957585698277797,259,2.290618896484375,-0.002290619071573019,0.2507305655320135,0.0,1.3934679507562067,26,2048
552960,816.0459594726562,1.3655364415857263,269,2.2704691886901855,-0.002270469209179282,0.25760897427872936,0.0,1.363265972376547,27,2048
573440,830.9624633789062,1.3454347973647256,279,2.2503132820129395,-0.0022503132931888103,0.2632039236777425,0.0,1.3431844840715368,28,2048
593920,846.5750732421875,1.3260535168807104,289,2.2301061153411865,-0.0022301061544567347,0.26866057572413027,0.0,1.3238234107262536,29,2048
614400,862.7365112304688,1.3032958138049668,299,2.2099037170410156,-0.0022099039051681757,0.27464153607985137,0.0,1.3010859098997987,30,2048
634880,881.0001831054688,1.2903280665080155,309,2.1896920204162598,-0.002189692109823227,0.27890025933552887,0.0,1.2881383743981922,31,2048
655360,900.7576904296875,1.2652063443304136,319,2.169527530670166,-0.00216952757909894,0.28505759681815623,0.0,1.2630368167513146,32,2048
675840,920.322021484375,1.257199075265453,329,2.149390697479248,-0.0021493907552212477,0.28873019900391705,0.0,1.2550496845102317,33,2048
696320,939.8951416015625,1.2330778762041115,339,2.129279136657715,-0.0021292793098837137,0.295697737711874,0.0,1.2309485968942278,34,2048
716800,959.6682739257812,1.2197673522747163,349,2.1091690063476562,-0.002109169028699398,0.2994001426760563,0.0,1.217658183246017,35,2048
737280,980.8056640625,1.18534304970429,359,2.08906888961792,-0.002089068992063403,0.3089852116785464,0.0,1.1832539807122266,36,2048
757760,1002.7888793945312,1.1758656334422959,369,2.0689656734466553,-0.002068965695798397,0.3129018495912571,0.0,1.1737966677464975,37,2048
778240,1026.021240234375,1.1514455806736987,379,2.0489001274108887,-0.002048900118097663,0.3208373834330799,0.0,1.149396680555601,38,2048
798720,1048.848876953125,1.1351964489184272,389,2.028866767883301,-0.0020288669038563967,0.3254591951354851,0.0,1.1331675820145708,39,2048
819200,1072.41796875,1.1091796710340471,399,2.0088348388671875,-0.0020088348537683487,0.3344952335178708,0.0,1.1071708361802788,40,2048
839680,1094.75048828125,1.096083792372748,409,1.9887869358062744,-0.0019887869711965322,0.3390232631691164,0.0,1.0940950054015515,41,2048
860160,1117.521728515625,1.074052915324424,419,1.9688544273376465,-0.001968854572623968,0.34553127585159416,0.0,1.0720840607518,42,2048
880640,1139.91455078125,1.0529854242440901,429,1.948913812637329,-0.0019489139085635543,0.35423401576544733,0.0,1.0510365103355266,43,2048
901120,1162.6292724609375,1.0300733129334374,439,1.9289357662200928,-0.001928935875184834,0.36188232022115907,0.0,1.0281443770582526,44,2048
921600,1184.9864501953125,1.0149181270956062,449,1.9089069366455078,-0.0019089070847257972,0.3676200804027885,0.0,1.0130092200108805,45,2048
942080,1206.7176513671875,0.9993223675000874,459,1.8889079093933105,-0.0018889079801738262,0.3744287270017375,0.0,0.9974334595199136,46,2048
962560,1229.4698486328125,0.9673773696488313,469,1.868973970413208,-0.0018689740682020783,0.3850861223838459,0.0,0.9655083955806292,47,2048
983040,1251.073486328125,0.9624449205374777,479,1.8490207195281982,-0.0018490208312869072,0.3879273519515368,0.0,0.9605958997061907,48,2048
1003520,1273.565673828125,0.9429123360573899,489,1.82911217212677,-0.0018291122978553176,0.39668904998442356,0.0,0.9410832237595346,49,2048
1024000,1296.185791015625,0.9118908414005757,499,1.8092432022094727,-0.0018092433456331491,0.40789969401547643,0.0,0.9100815980549426,50,2048
1044480,1319.289794921875,0.9000777531102164,509,1.7892988920211792,-0.0017892989562824368,0.41346638637181143,0.0,0.898288454153934,51,2048
1064960,1342.440673828125,0.8743471341762599,519,1.7693302631378174,-0.0017693303525447845,0.42281643435431876,0.0,0.8725778038237151,52,2048
1085440,1366.2337646484375,0.8571722721805128,529,1.7493821382522583,-0.0017493822379037738,0.4320278787841647,0.0,0.8554228899426091,53,2048
