bc/samples_so_far,bc/l2_loss,bc/ent_loss,bc/l2_norm,bc/prob_true_act,bc/epoch,bc/loss,bc/batch,bc/neglogp,batch_size,bc/entropy
4096,0.0,-0.002837877254933119,128.50010681152344,0.10761597752571106,0,2.2696425914764404,0,2.2724804878234863,4096,2.837877035140991
102400,0.0,-0.0027894191443920135,202.52786254882812,0.1195732057094574,2,2.1443610191345215,24,2.1471505165100098,4096,2.789418935775757
200704,0.0,-0.002741060685366392,214.28323364257812,0.124737948179245,4,2.105085849761963,48,2.1078269481658936,4096,2.741060495376587
299008,0.0,-0.002693714341148734,215.6422576904297,0.12683963775634766,6,2.0901002883911133,72,2.0927939414978027,4096,2.693714141845703
397312,0.0,-0.002647420624271035,215.7421875,0.13159634172916412,8,2.0565950870513916,96,2.0592424869537354,4096,2.6474204063415527
495616,0.0,-0.0026021383237093687,215.75823974609375,0.13508903980255127,10,2.0321199893951416,120,2.034722089767456,4096,2.6021382808685303
593920,0.0,-0.0025579591747373343,215.7631072998047,0.1395421177148819,12,2.0040688514709473,144,2.006626844406128,4096,2.5579590797424316
692224,0.0,-0.0025148754939436913,215.75624084472656,0.14321759343147278,14,1.9804954528808594,168,1.9830102920532227,4096,2.5148754119873047
790528,0.0,-0.0024729366414248943,215.7607879638672,0.14697636663913727,16,1.9576411247253418,192,1.9601140022277832,4096,2.4729366302490234
888832,0.0,-0.002432210138067603,215.76837158203125,0.15024138987064362,18,1.9385322332382202,216,1.9409644603729248,4096,2.4322099685668945
987136,0.0,-0.002392674097791314,215.7759552001953,0.15553566813468933,20,1.9067461490631104,240,1.909138798713684,4096,2.392673969268799
1085440,0.0,-0.002354498254135251,215.78436279296875,0.15781410038471222,22,1.8971315622329712,264,1.8994860649108887,4096,2.3544981479644775
1183744,0.0,-0.0023176732938736677,215.77305603027344,0.16098062694072723,24,1.8789308071136475,288,1.8812484741210938,4096,2.3176732063293457
1282048,0.0,-0.002282198052853346,215.77688598632812,0.16571107506752014,26,1.8523058891296387,312,1.8545880317687988,4096,2.282197952270508
1380352,0.0,-0.0022480764891952276,215.77357482910156,0.16768857836723328,28,1.8469133377075195,336,1.8491613864898682,4096,2.2480764389038086
1478656,0.0,-0.0022153882309794426,215.79173278808594,0.1717667132616043,30,1.8231091499328613,360,1.825324535369873,4096,2.215388059616089
1576960,0.0,-0.002184090204536915,215.77731323242188,0.1755998134613037,32,1.8045967817306519,384,1.8067808151245117,4096,2.1840901374816895
1675264,0.0,-0.0021541754249483347,215.7666473388672,0.17910480499267578,34,1.7856417894363403,408,1.7877960205078125,4096,2.154175281524658
1773568,0.0,-0.0021256576292216778,215.78689575195312,0.17990434169769287,36,1.7867940664291382,432,1.7889196872711182,4096,2.125657558441162
1871872,0.0,-0.0020984478760510683,215.7704620361328,0.182884082198143,38,1.772983431816101,456,1.7750818729400635,4096,2.098447799682617
1970176,0.0,-0.0020724739879369736,215.7643585205078,0.18535637855529785,40,1.761555552482605,480,1.7636280059814453,4096,2.0724740028381348
2068480,0.0,-0.0020478074438869953,215.77154541015625,0.1884671300649643,42,1.747254729270935,504,1.7493025064468384,4096,2.047807455062866
2166784,0.0,-0.0020242114551365376,215.7735137939453,0.18887251615524292,44,1.7461662292480469,528,1.7481904029846191,4096,2.0242114067077637
2265088,0.0,-0.0020017772912979126,215.7556915283203,0.19347669184207916,46,1.7235910892486572,552,1.725592851638794,4096,2.001777172088623
