bc/neglogp,batch_size,bc/prob_true_act,bc/epoch,bc/l2_norm,bc/entropy,bc/batch,bc/ent_loss,bc/samples_so_far,bc/loss,bc/l2_loss
2.4810054302215576,4096,0.08746618032455444,0,128.50010681152344,2.837877035140991,0,-0.002837877254933119,4096,2.4781675338745117,0.0
2.0406925678253174,4096,0.1324637532234192,2,202.45982360839844,2.7876157760620117,24,-0.0027876158710569143,102400,2.037904977798462,0.0
1.98684823513031,4096,0.14236155152320862,4,214.72113037109375,2.7340424060821533,48,-0.0027340424712747335,200704,1.984114170074463,0.0
1.9483712911605835,4096,0.14722901582717896,6,215.91746520996094,2.6822962760925293,72,-0.0026822963263839483,299008,1.9456889629364014,0.0
1.906394600868225,4096,0.15415358543395996,8,216.07342529296875,2.6322782039642334,96,-0.002632278250530362,397312,1.9037623405456543,0.0
1.8849503993988037,4096,0.15857331454753876,10,216.08802795410156,2.5834484100341797,120,-0.0025834485422819853,495616,1.8823668956756592,0.0
1.8523344993591309,4096,0.1648634374141693,12,216.09637451171875,2.5355896949768066,144,-0.002535589737817645,593920,1.8497989177703857,0.0
1.807458758354187,4096,0.17219087481498718,14,216.103759765625,2.488636016845703,168,-0.002488636178895831,692224,1.804970145225525,0.0
1.7786136865615845,4096,0.17791494727134705,16,216.11087036132812,2.442462921142578,192,-0.002442463068291545,790528,1.7761712074279785,0.0
1.755764126777649,4096,0.18358054757118225,18,216.12075805664062,2.3970205783843994,216,-0.0023970205802470446,888832,1.7533670663833618,0.0
1.719868779182434,4096,0.19027432799339294,20,216.13079833984375,2.352372646331787,240,-0.002352372743189335,987136,1.7175164222717285,0.0
1.709517240524292,4096,0.19449806213378906,22,216.14102172851562,2.3084750175476074,264,-0.002308475086465478,1085440,1.7072087526321411,0.0
1.6683754920959473,4096,0.20194599032402039,24,216.1525115966797,2.265399694442749,288,-0.0022653997875750065,1183744,1.6661100387573242,0.0
1.6382313966751099,4096,0.2091352641582489,26,216.16720581054688,2.223116397857666,312,-0.0022231165785342455,1282048,1.6360082626342773,0.0
1.6161282062530518,4096,0.21547240018844604,28,216.17922973632812,2.1816892623901367,336,-0.002181689254939556,1380352,1.613946557044983,0.0
1.5972129106521606,4096,0.21988187730312347,30,216.18746948242188,2.1410820484161377,360,-0.0021410821937024593,1478656,1.595071792602539,0.0
1.570338487625122,4096,0.2267960160970688,32,216.20751953125,2.1014232635498047,384,-0.0021014234516769648,1576960,1.568237066268921,0.0
1.565501093864441,4096,0.23052948713302612,34,216.2162322998047,2.062631845474243,408,-0.002062632003799081,1675264,1.5634384155273438,0.0
1.5382262468338013,4096,0.23816746473312378,36,216.23626708984375,2.024876832962036,432,-0.0020248768851161003,1773568,1.5362013578414917,0.0
1.5110905170440674,4096,0.24463118612766266,38,216.2473602294922,1.9880924224853516,456,-0.0019880924373865128,1871872,1.509102463722229,0.0
1.496898889541626,4096,0.250166118144989,40,216.27024841308594,1.9522796869277954,480,-0.0019522798247635365,1970176,1.4949465990066528,0.0
1.479076623916626,4096,0.2555581331253052,42,216.2801055908203,1.9174537658691406,504,-0.0019174538319930434,2068480,1.4771591424942017,0.0
1.4684574604034424,4096,0.2606145739555359,44,216.30169677734375,1.8837099075317383,528,-0.0018837100360542536,2166784,1.466573715209961,0.0
1.4496442079544067,4096,0.26746881008148193,46,216.31719970703125,1.8511765003204346,552,-0.0018511766102164984,2265088,1.4477930068969727,0.0
1.4349467754364014,4096,0.27063173055648804,48,216.3228302001953,1.8196953535079956,576,-0.0018196954624727368,2363392,1.4331270456314087,0.0
1.432254672050476,4096,0.2756480574607849,50,216.3501434326172,1.7893950939178467,600,-0.0017893952317535877,2461696,1.4304652214050293,0.0
1.4420795440673828,4096,0.2770518660545349,52,216.34799194335938,1.7601077556610107,624,-0.001760107814334333,2560000,1.4403194189071655,0.0
1.4227991104125977,4096,0.28201574087142944,54,216.36769104003906,1.7320895195007324,648,-0.0017320895567536354,2658304,1.4210669994354248,0.0
1.4007129669189453,4096,0.2887989282608032,56,216.3875274658203,1.7052502632141113,672,-0.001705250353552401,2756608,1.3990076780319214,0.0
1.384738802909851,4096,0.2953389286994934,58,216.40481567382812,1.6796512603759766,696,-0.001679651322774589,2854912,1.3830591440200806,0.0
1.3849949836730957,4096,0.29942721128463745,60,216.42926025390625,1.6553187370300293,720,-0.0016553187742829323,2953216,1.3833396434783936,0.0
1.3546816110610962,4096,0.30322423577308655,62,216.4261932373047,1.631960153579712,744,-0.0016319602727890015,3051520,1.353049635887146,0.0
1.3782448768615723,4096,0.30394113063812256,64,216.45382690429688,1.6099014282226562,768,-0.0016099015483632684,3149824,1.376634955406189,0.0
1.3707516193389893,4096,0.3060477375984192,66,216.45652770996094,1.5889379978179932,792,-0.001588938059285283,3248128,1.369162678718567,0.0
1.362497091293335,4096,0.3084726333618164,68,216.48265075683594,1.5691947937011719,816,-0.0015691948356106877,3346432,1.360927939414978,0.0
1.3434170484542847,4096,0.31643542647361755,70,216.48854064941406,1.5505750179290771,840,-0.0015505751362070441,3444736,1.3418664932250977,0.0
1.3711483478546143,4096,0.3145793378353119,72,216.49607849121094,1.532975196838379,864,-0.0015329752350226045,3543040,1.3696153163909912,0.0
1.3392558097839355,4096,0.32177549600601196,74,216.49832153320312,1.5164029598236084,888,-0.001516403048299253,3641344,1.33773934841156,0.0
1.3240694999694824,4096,0.32264643907546997,76,216.51487731933594,1.5009043216705322,912,-0.0015009044436737895,3739648,1.322568655014038,0.0
