bc/l2_norm,bc/batch,bc/l2_loss,bc/entropy,bc/neglogp,bc/epoch,bc/prob_true_act,bc/ent_loss,bc/loss,batch_size,bc/samples_so_far
204.82643127441406,26,0.0,2.782107353210449,1.9198352098464966,1,0.14696478843688965,-0.002782107563689351,1.9170531034469604,2048,55296
215.78445434570312,53,0.0,2.714418649673462,1.7452032566070557,2,0.17611105740070343,-0.0027144188061356544,1.7424888610839844,2048,110592
216.48948669433594,80,0.0,2.650589942932129,1.6835553646087646,3,0.1878339648246765,-0.0026505901478230953,1.680904746055603,2048,165888
216.58409118652344,107,0.0,2.589977741241455,1.6185609102249146,4,0.20004212856292725,-0.0025899778120219707,1.6159709692001343,2048,221184
216.58865356445312,134,0.0,2.5311667919158936,1.556835651397705,5,0.21268782019615173,-0.002531166886910796,1.5543044805526733,2048,276480
216.6001434326172,161,0.0,2.473461151123047,1.5011887550354004,6,0.22498774528503418,-0.0024734612088650465,1.4987152814865112,2048,331776
216.61180114746094,188,0.0,2.4165220260620117,1.45001220703125,7,0.2376551330089569,-0.002416522242128849,1.4475957155227661,2048,387072
216.6233673095703,215,0.0,2.3601484298706055,1.3857057094573975,8,0.2522249221801758,-0.002360148588195443,1.383345603942871,2048,442368
216.638671875,242,0.0,2.3041763305664062,1.3375483751296997,9,0.26590508222579956,-0.0023041763342916965,1.3352441787719727,2048,497664
216.65513610839844,269,0.0,2.2485387325286865,1.2875750064849854,10,0.2808017134666443,-0.002248538890853524,1.2853264808654785,2048,552960
216.67041015625,296,0.0,2.1932153701782227,1.2268375158309937,11,0.2973986864089966,-0.002193215535953641,1.2246443033218384,2048,608256
216.68914794921875,323,0.0,2.138101577758789,1.1826837062835693,12,0.3127744495868683,-0.002138101728633046,1.1805455684661865,2048,663552
216.70884704589844,350,0.0,2.083207368850708,1.1302294731140137,13,0.33044296503067017,-0.002083207480609417,1.1281462907791138,2048,718848
216.73306274414062,377,0.0,2.0285301208496094,1.0887956619262695,14,0.34782618284225464,-0.002028530230745673,1.0867670774459839,2048,774144
216.75308227539062,404,0.0,1.9740307331085205,1.0316963195800781,15,0.3664212226867676,-0.001974030863493681,1.0297223329544067,2048,829440
216.77394104003906,431,0.0,1.91977858543396,0.9577990770339966,16,0.3910321891307831,-0.0019197786459699273,0.955879271030426,2048,884736
216.79928588867188,458,0.0,1.8656060695648193,0.9279744029045105,17,0.4082863926887512,-0.0018656061729416251,0.9261087775230408,2048,940032
216.83248901367188,485,0.0,1.8116559982299805,0.8745758533477783,18,0.4310194253921509,-0.0018116560531780124,0.8727641701698303,2048,995328
216.85739135742188,512,0.0,1.757885456085205,0.8212558627128601,19,0.4551003575325012,-0.0017578855622559786,0.8194980025291443,2048,1050624
216.88478088378906,539,0.0,1.7042107582092285,0.7743419408798218,20,0.47773370146751404,-0.0017042108811438084,0.7726377248764038,2048,1105920
216.9224090576172,566,0.0,1.6507774591445923,0.7044752836227417,21,0.5078567266464233,-0.0016507775289937854,0.7028245329856873,2048,1161216
216.94589233398438,593,0.0,1.597424030303955,0.6803193688392639,22,0.5317517518997192,-0.0015974241541698575,0.6787219643592834,2048,1216512
216.98524475097656,620,0.0,1.5442900657653809,0.6291033625602722,23,0.5624902844429016,-0.0015442901058122516,0.6275590658187866,2048,1271808
217.02294921875,647,0.0,1.4912500381469727,0.5939016342163086,24,0.5901771783828735,-0.0014912501210346818,0.5924103856086731,2048,1327104
217.0592498779297,674,0.0,1.4384920597076416,0.520341694355011,25,0.6253671050071716,-0.0014384920941665769,0.5189031958580017,2048,1382400
217.09059143066406,701,0.0,1.3857653141021729,0.48282480239868164,26,0.65604567527771,-0.0013857653830200434,0.4814390242099762,2048,1437696
217.1309356689453,728,0.0,1.3332767486572266,0.4366950988769531,27,0.6904885172843933,-0.0013332768576219678,0.4353618323802948,2048,1492992
217.1695556640625,755,0.0,1.2809743881225586,0.375163733959198,28,0.7310367822647095,-0.0012809744803234935,0.3738827705383301,2048,1548288
217.21458435058594,782,0.0,1.2289226055145264,0.33587244153022766,29,0.7643221616744995,-0.0012289226287975907,0.33464351296424866,2048,1603584
217.2604217529297,809,0.0,1.1771280765533447,0.28744083642959595,30,0.8089287877082825,-0.0011771281715482473,0.28626370429992676,2048,1658880
217.30946350097656,836,0.0,1.125530481338501,0.2468831092119217,31,0.8473443388938904,-0.0011255305726081133,0.2457575798034668,2048,1714176
217.34205627441406,863,0.0,1.0740368366241455,0.20723243057727814,32,0.8921506404876709,-0.0010740369325503707,0.20615839958190918,2048,1769472
217.39724731445312,890,0.0,1.0229268074035645,0.14675942063331604,33,0.941272497177124,-0.0010229268809780478,0.14573650062084198,2048,1824768
217.43807983398438,917,0.0,0.9719331860542297,0.08741442859172821,34,0.9914725422859192,-0.0009719332447275519,0.0864424929022789,2048,1880064
217.48818969726562,944,0.0,0.9212716817855835,0.04573863744735718,35,1.0416655540466309,-0.0009212717413902283,0.04481736570596695,2048,1935360
217.53843688964844,971,0.0,0.8707724809646606,0.01711832359433174,36,1.0947462320327759,-0.0008707725210115314,0.016247551888227463,2048,1990656
217.59664916992188,998,0.0,0.820548415184021,0.0030759491492062807,37,1.145207166671753,-0.0008205484482459724,0.0022554006427526474,2048,2045952
217.6367645263672,1025,0.0,0.7707897424697876,-0.08684743940830231,38,1.2083343267440796,-0.0007707898039370775,-0.08761823177337646,2048,2101248
217.69004821777344,1052,0.0,0.7212116718292236,-0.13251590728759766,39,1.2691683769226074,-0.0007212117197923362,-0.13323712348937988,2048,2156544
