bc/samples_so_far,bc/entropy,bc/epoch,bc/prob_true_act,bc/l2_norm,bc/loss,bc/batch,bc/neglogp,bc/l2_loss,batch_size,bc/ent_loss
1208320,1.6505659818649292,59,0.4501021360970406,1114.4031982421875,0.8210913017274465,589,0.8227418677298005,0.0,2048,-0.0016505660023540258
1228800,1.6310863494873047,60,0.4487812421576114,1127.0177001953125,0.833919379366563,599,0.8355504658259464,0.0,2048,-0.0016310864593833685
1249280,1.6118011474609375,61,0.4711584221451748,1141.1854248046875,0.7736597947921781,609,0.7752715960057629,0.0,2048,-0.0016118012135848403
1269760,1.592421531677246,62,0.48677509396761903,1157.135498046875,0.7365999054121888,619,0.7381923269671491,0.0,2048,-0.0015924215549603105
1290240,1.5729237794876099,63,0.49789955057859986,1171.5577392578125,0.7138964944329331,629,0.7154694182841326,0.0,2048,-0.0015729238511994481
1310720,1.5532805919647217,64,0.50983222578953,1183.92919921875,0.6911582793593682,639,0.6927115599876545,0.0,2048,-0.001553280628286302
1331200,1.5335254669189453,65,0.5182569460976908,1195.685791015625,0.6754888020219976,649,0.6770223275522465,0.0,2048,-0.0015335255302488804
1351680,1.513794183731079,66,0.5309990753230727,1207.4661865234375,0.6518754096469377,659,0.6533892039442901,0.0,2048,-0.0015137942973524332
1372160,1.494074821472168,67,0.5412751684443087,1219.2252197265625,0.6288415990989933,669,0.6303356740378121,0.0,2048,-0.0014940749388188124
1392640,1.4743528366088867,68,0.5512605838719264,1231.066650390625,0.6142797058894773,679,0.6157540587922101,0.0,2048,-0.0014743529027327895
1413120,1.4545973539352417,69,0.5602853645660187,1242.461669921875,0.5987944701391517,689,0.6002490675946011,0.0,2048,-0.0014545974554494023
1433600,1.4349255561828613,70,0.5669639286752874,1253.8594970703125,0.5838917672426709,699,0.585326692837038,0.0,2048,-0.0014349255943670869
1454080,1.4155752658843994,71,0.5780147034263037,1265.1646728515625,0.5635982398145339,709,0.5650138152033529,0.0,2048,-0.0014155753888189793
1474560,1.3964354991912842,72,0.5920956362576233,1276.674072265625,0.5436797827957842,719,0.5450762183415416,0.0,2048,-0.001396435545757413
1495040,1.3771419525146484,73,0.6070095091655057,1287.620849609375,0.5189982723949196,729,0.5203754144293906,0.0,2048,-0.001377142034471035
1515520,1.3576276302337646,74,0.6147608595621136,1298.008056640625,0.5080061921299743,739,0.5093638198132935,0.0,2048,-0.0013576276833191514
1536000,1.337954044342041,75,0.6340621837185692,1307.9796142578125,0.4730958710865971,749,0.47443382516260413,0.0,2048,-0.0013379540760070086
1556480,1.3182016611099243,76,0.638434933072581,1317.81640625,0.47418799984448257,759,0.4755062016164199,0.0,2048,-0.0013182017719373107
1576960,1.2984607219696045,77,0.6539458737287207,1327.865966796875,0.4460082921585023,769,0.4473067529186561,0.0,2048,-0.00129846076015383
1597440,1.2787590026855469,78,0.6680720742195957,1337.825439453125,0.42345873216155117,779,0.4247374912583003,0.0,2048,-0.001278759096749127
1617920,1.259024739265442,79,0.6810149254456765,1347.6976318359375,0.4060665598809382,789,0.4073255847179925,0.0,2048,-0.0012590248370543122
1638400,1.239281415939331,80,0.6969043308828012,1357.4237060546875,0.3786325133103142,799,0.3798717948072786,0.0,2048,-0.001239281496964395
1658880,1.2195254564285278,81,0.7157074124984134,1367.396484375,0.35448671859077296,809,0.35570624405837736,0.0,2048,-0.0012195254676043987
1679360,1.199791669845581,82,0.7157913117627538,1377.623046875,0.3548592004541459,819,0.35605899212771674,0.0,2048,-0.0011997916735708714
1699840,1.1800768375396729,83,0.7401594394023026,1387.264404296875,0.3205505937342946,829,0.3217306705895294,0.0,2048,-0.0011800768552348018
1720320,1.1604015827178955,84,0.7406075377209012,1396.64404296875,0.3299465050909606,839,0.3311069067090687,0.0,2048,-0.0011604016181081533
1740800,1.140782117843628,85,0.7597390882869308,1406.1326904296875,0.296276772990838,849,0.29741755513475865,0.0,2048,-0.00114078214392066
1761280,1.1211354732513428,86,0.7857776672149237,1415.348388671875,0.2615299786054483,859,0.2626511141504115,0.0,2048,-0.001121135544963181
1781760,1.101423740386963,87,0.8045237992912774,1424.4913330078125,0.2356819036446296,869,0.23678332739805508,0.0,2048,-0.001101423753425479
1802240,1.0816596746444702,88,0.7931927283875204,1433.8897705078125,0.25342698276472503,879,0.2545086424561333,0.0,2048,-0.0010816596914082766
1822720,1.0624372959136963,89,0.8039377266283008,1444.394775390625,0.2505124304246787,889,0.2515748677345622,0.0,2048,-0.001062437309883535
1843200,1.043450117111206,90,0.8347789752962869,1454.191162109375,0.20619406359282347,899,0.20723751379654767,0.0,2048,-0.0010434502037242055
1863680,1.0241508483886719,91,0.8656777428840421,1463.986083984375,0.16461067222859407,909,0.1656348231002658,0.0,2048,-0.0010241508716717362
1884160,1.0045545101165771,92,0.8699298490937555,1473.4320068359375,0.16140190646896463,919,0.16240646103309792,0.0,2048,-0.0010045545641332865
1904640,0.9848515391349792,93,0.9004672560748623,1482.8848876953125,0.12457778264261088,929,0.12556263426277092,0.0,2048,-0.0009848516201600432
1925120,0.965032696723938,94,0.9115996833033289,1492.005126953125,0.11214980908049434,939,0.1131148418070206,0.0,2048,-0.0009650327265262604
1945600,0.9452049732208252,95,0.9246457580160286,1501.3819580078125,0.09994332935079317,949,0.10088853439432885,0.0,2048,-0.0009452050435356796
1966080,0.9253437519073486,96,0.950367626477904,1510.638671875,0.07068929974909018,959,0.07161464352381493,0.0,2048,-0.0009253437747247517
1986560,0.9056165218353271,97,0.9668216611900289,1519.814453125,0.05885003237713858,969,0.05975564893529549,0.0,2048,-0.0009056165581569076
2007040,0.88601154088974,98,0.9795889685420887,1528.8101806640625,0.04288365727776111,979,0.04376966885543809,0.0,2048,-0.0008860115776769817
2027520,0.8664236068725586,99,1.0106381347034301,1537.95654296875,0.008227827598549483,989,0.009094251250591186,0.0,2048,-0.0008664236520417035
2048000,0.846680760383606,100,1.029186019116956,1547.0201416015625,-0.0057997514088828275,999,-0.004953070631269754,0.0,2048,-0.0008466807776130736
2068480,0.8268418312072754,101,1.05607051151532,1556.0286865234375,-0.036992086768437835,1009,-0.0361652449078939,0.0,2048,-0.0008268418605439365
