bc/l2_norm,bc/batch,bc/l2_loss,bc/entropy,bc/neglogp,bc/epoch,bc/prob_true_act,bc/ent_loss,bc/loss,batch_size,bc/samples_so_far
473.7372741699219,26,0.0,2.7864322662353516,1.8245158195495605,1,0.16203966736793518,-0.0027864323928952217,1.8217294216156006,2048,55296
483.3155822753906,53,0.0,2.72928786277771,1.7507152557373047,2,0.17431104183197021,-0.0027292880695313215,1.7479859590530396,2048,110592
488.04510498046875,80,0.0,2.67289400100708,1.6902923583984375,3,0.1850568652153015,-0.0026728941593319178,1.6876194477081299,2048,165888
503.722412109375,107,0.0,2.617126941680908,1.6346871852874756,4,0.19568057358264923,-0.0026171270292252302,1.6320700645446777,2048,221184
512.9075317382812,134,0.0,2.561739921569824,1.5790801048278809,5,0.20680934190750122,-0.0025617401115596294,1.5765184164047241,2048,276480
518.3656616210938,161,0.0,2.506654739379883,1.52445650100708,6,0.21844440698623657,-0.002506654942408204,1.5219498872756958,2048,331776
524.2122192382812,188,0.0,2.4517664909362793,1.4694286584854126,7,0.23086456954479218,-0.0024517665151506662,1.4669768810272217,2048,387072
531.8021850585938,215,0.0,2.3970775604248047,1.4173052310943604,8,0.24341332912445068,-0.0023970776237547398,1.4149081707000732,2048,442368
540.3527221679688,242,0.0,2.342517375946045,1.3630585670471191,9,0.2572289705276489,-0.002342517487704754,1.3607161045074463,2048,497664
549.1155395507812,269,0.0,2.2880802154541016,1.3113276958465576,10,0.27095746994018555,-0.0022880802862346172,1.30903959274292,2048,552960
557.9275512695312,296,0.0,2.233708143234253,1.2617251873016357,11,0.2856902480125427,-0.0022337082773447037,1.2594914436340332,2048,608256
570.384765625,323,0.0,2.179464340209961,1.212938666343689,12,0.29919570684432983,-0.0021794645581394434,1.210759162902832,2048,663552
582.28515625,350,0.0,2.12553334236145,1.1490797996520996,13,0.3184763193130493,-0.0021255335304886103,1.1469542980194092,2048,718848
592.9072265625,377,0.0,2.07147216796875,1.1048433780670166,14,0.33513343334198,-0.0020714723505079746,1.1027718782424927,2048,774144
605.468017578125,404,0.0,2.0174431800842285,1.0493221282958984,15,0.3537290096282959,-0.002017443301156163,1.047304630279541,2048,829440
619.0288696289062,431,0.0,1.9635818004608154,0.9914901852607727,16,0.3736780881881714,-0.0019635818898677826,0.989526629447937,2048,884736
630.2933959960938,458,0.0,1.9097380638122559,0.9450128078460693,17,0.3928212821483612,-0.0019097381737083197,0.9431030750274658,2048,940032
643.5692749023438,485,0.0,1.8559167385101318,0.8960496187210083,18,0.4140109419822693,-0.0018559168092906475,0.894193708896637,2048,995328
656.354248046875,512,0.0,1.8022315502166748,0.8373329639434814,19,0.43672990798950195,-0.0018022316507995129,0.8355307579040527,2048,1050624
669.8131103515625,539,0.0,1.7486908435821533,0.7850982546806335,20,0.46155238151550293,-0.0017486909637227654,0.7833495736122131,2048,1105920
683.4590454101562,566,0.0,1.6952147483825684,0.737711489200592,21,0.484049916267395,-0.0016952147707343102,0.7360162734985352,2048,1161216
697.4710693359375,593,0.0,1.6417709589004517,0.6842877864837646,22,0.5126770734786987,-0.0016417710576206446,0.6826460361480713,2048,1216512
710.4531860351562,620,0.0,1.5884506702423096,0.6318036913871765,23,0.539710521697998,-0.0015884507447481155,0.6302152276039124,2048,1271808
722.3309936523438,647,0.0,1.5351020097732544,0.5842324495315552,24,0.5684975385665894,-0.0015351020265370607,0.582697331905365,2048,1327104
735.6813354492188,674,0.0,1.48191499710083,0.5341535806655884,25,0.5951230525970459,-0.0014819151256233454,0.5326716899871826,2048,1382400
747.88623046875,701,0.0,1.4288692474365234,0.49027037620544434,26,0.6281269788742065,-0.0014288693200796843,0.4888415038585663,2048,1437696
759.7904663085938,728,0.0,1.3758490085601807,0.435571551322937,27,0.6652575135231018,-0.001375849125906825,0.43419569730758667,2048,1492992
773.5932006835938,755,0.0,1.3229522705078125,0.380886971950531,28,0.6994503140449524,-0.0013229523319751024,0.3795640170574188,2048,1548288
786.060546875,782,0.0,1.2700529098510742,0.3406262993812561,29,0.7349166870117188,-0.0012700529769062996,0.3393562436103821,2048,1603584
802.7598266601562,809,0.0,1.2174670696258545,0.2837219834327698,30,0.7720702886581421,-0.0012174671282991767,0.28250452876091003,2048,1658880
820.8302612304688,836,0.0,1.1650803089141846,0.22472918033599854,31,0.8177794218063354,-0.0011650803498923779,0.22356410324573517,2048,1714176
837.1987915039062,863,0.0,1.1128038167953491,0.18068090081214905,32,0.857129693031311,-0.0011128038167953491,0.1795680969953537,2048,1769472
850.5267944335938,890,0.0,1.0603126287460327,0.14354249835014343,33,0.9049060344696045,-0.0010603127302601933,0.142482191324234,2048,1824768
866.6281127929688,917,0.0,1.0081530809402466,0.07862503081560135,34,0.9560874104499817,-0.0010081530781462789,0.07761687785387039,2048,1880064
886.3610229492188,944,0.0,0.9561992883682251,0.03791065514087677,35,0.999382734298706,-0.0009561993065290153,0.03695445507764816,2048,1935360
901.9591064453125,971,0.0,0.9041658639907837,0.002473501954227686,36,1.0406460762023926,-0.0009041659068316221,0.0015693360473960638,2048,1990656
917.8602905273438,998,0.0,0.8522080183029175,-0.06588864326477051,37,1.1132943630218506,-0.0008522080606780946,-0.06674084812402725,2048,2045952
931.8400268554688,1025,0.0,0.8003830909729004,-0.11752261221408844,38,1.172225832939148,-0.0008003831026144326,-0.11832299828529358,2048,2101248
943.5592651367188,1052,0.0,0.7486096620559692,-0.1460913121700287,39,1.2309956550598145,-0.0007486097165383399,-0.1468399167060852,2048,2156544
