bc/prob_true_act,bc/neglogp,bc/l2_norm,bc/l2_loss,bc/ent_loss,bc/batch,bc/samples_so_far,bc/entropy,bc/epoch,bc/loss,batch_size
0.15705770254135132,1.8600893020629883,479.13397216796875,0.0,-0.0027825424913316965,27,57344,2.7825424671173096,1,1.857306718826294,2048
0.1700851023197174,1.776986837387085,488.1512451171875,0.0,-0.0027213499415665865,55,114688,2.7213497161865234,2,1.7742655277252197,2048
0.17967703938484192,1.7231478691101074,489.0873107910156,0.0,-0.0026617958210408688,83,172032,2.6617956161499023,3,1.720486044883728,2048
0.1914568841457367,1.6585838794708252,489.7591247558594,0.0,-0.0026034642942249775,111,229376,2.603464126586914,4,1.6559804677963257,2048
0.20190611481666565,1.6054871082305908,491.12921142578125,0.0,-0.0025458165910094976,139,286720,2.545816421508789,5,1.6029412746429443,2048
0.213148295879364,1.5548441410064697,493.7835388183594,0.0,-0.002488630823791027,167,344064,2.488630771636963,6,1.5523555278778076,2048
0.22506272792816162,1.4987480640411377,497.5312194824219,0.0,-0.00243183015845716,195,401408,2.4318299293518066,7,1.4963161945343018,2048
0.23681801557540894,1.4473631381988525,501.1146545410156,0.0,-0.002375268144533038,223,458752,2.37526798248291,8,1.4449878931045532,2048
0.25071313977241516,1.392293095588684,503.8058166503906,0.0,-0.0023190479259938,251,516096,2.3190479278564453,9,1.3899739980697632,2048
0.26365578174591064,1.3427064418792725,506.246826171875,0.0,-0.0022630090825259686,279,573440,2.2630090713500977,10,1.34044349193573,2048
0.27906009554862976,1.2884492874145508,508.2143859863281,0.0,-0.0022071863058954477,307,630784,2.207186222076416,11,1.286242127418518,2048
0.29109737277030945,1.2444435358047485,510.85693359375,0.0,-0.0021515865810215473,335,688128,2.1515865325927734,12,1.2422919273376465,2048
0.3105353116989136,1.1846637725830078,513.2863159179688,0.0,-0.002096305601298809,363,745472,2.0963056087493896,13,1.1825674772262573,2048
0.3242946267127991,1.1450867652893066,515.7404174804688,0.0,-0.002041103085502982,391,802816,2.041102886199951,14,1.1430456638336182,2048
0.34292811155319214,1.0867085456848145,518.5458374023438,0.0,-0.001986251911148429,419,860160,1.9862518310546875,15,1.0847222805023193,2048
0.36087334156036377,1.0430859327316284,521.0565185546875,0.0,-0.001931558595970273,447,917504,1.9315584897994995,16,1.041154384613037,2048
0.3723677396774292,1.0050203800201416,523.294677734375,0.0,-0.0018771524773910642,475,974848,1.877152442932129,17,1.0031431913375854,2048
0.3991639018058777,0.9425308704376221,527.0285034179688,0.0,-0.0018230066634714603,503,1032192,1.8230066299438477,18,0.9407078623771667,2048
0.41724276542663574,0.917015016078949,530.84765625,0.0,-0.0017690032254904509,531,1089536,1.76900315284729,19,0.9152460098266602,2048
0.4269498586654663,0.8704063892364502,535.357421875,0.0,-0.0017157631227746606,559,1146880,1.7157630920410156,20,0.8686906099319458,2048
0.46370935440063477,0.7979128956794739,542.2542114257812,0.0,-0.001662743859924376,587,1204224,1.6627438068389893,21,0.7962501645088196,2048
0.49053674936294556,0.747421383857727,547.3530883789062,0.0,-0.0016095410101115704,615,1261568,1.6095409393310547,22,0.7458118200302124,2048
0.5132733583450317,0.7079178690910339,554.537109375,0.0,-0.0015564325731247663,643,1318912,1.5564324855804443,23,0.7063614130020142,2048
0.538322925567627,0.6618878841400146,564.9712524414062,0.0,-0.0015037236735224724,671,1376256,1.5037236213684082,24,0.6603841781616211,2048
0.5644586682319641,0.6145811080932617,573.576904296875,0.0,-0.0014514017384499311,699,1433600,1.451401710510254,25,0.613129734992981,2048
0.5878404974937439,0.602936863899231,586.9258422851562,0.0,-0.0013993679312989116,727,1490944,1.3993678092956543,26,0.6015375256538391,2048
0.6245654821395874,0.5269867181777954,603.8023681640625,0.0,-0.0013478643959388137,755,1548288,1.3478643894195557,27,0.5256388783454895,2048
0.635128378868103,0.5038291215896606,619.5283813476562,0.0,-0.0012965186033397913,783,1605632,1.2965185642242432,28,0.5025326013565063,2048
0.680252194404602,0.45814621448516846,634.2718505859375,0.0,-0.0012457440607249737,811,1662976,1.245743989944458,29,0.4569004774093628,2048
0.7067720890045166,0.422196626663208,651.963134765625,0.0,-0.001195327378809452,839,1720320,1.1953272819519043,30,0.42100128531455994,2048
0.7480195760726929,0.37399351596832275,676.0242309570312,0.0,-0.0011452252510935068,867,1777664,1.145225167274475,31,0.3728483021259308,2048
0.7858314514160156,0.33393120765686035,706.1978759765625,0.0,-0.0010957737686112523,895,1835008,1.095773696899414,32,0.33283543586730957,2048
0.8150603175163269,0.3173832297325134,737.2710571289062,0.0,-0.001046681427396834,923,1892352,1.0466814041137695,33,0.3163365423679352,2048
0.840627908706665,0.2733575105667114,776.0170288085938,0.0,-0.0009979919996112585,951,1949696,0.9979919791221619,34,0.2723595201969147,2048
0.8974264860153198,0.20885995030403137,817.9645385742188,0.0,-0.0009497381397522986,979,2007040,0.949738085269928,35,0.2079102098941803,2048
0.9192947745323181,0.16611874103546143,861.4557495117188,0.0,-0.0009020358556881547,1007,2064384,0.9020358324050903,36,0.16521669924259186,2048
0.9395642876625061,0.15245264768600464,909.2089233398438,0.0,-0.00085520523134619,1035,2121728,0.8552051782608032,37,0.15159744024276733,2048
0.9968459606170654,0.11778395622968674,958.5133056640625,0.0,-0.0008087201276794076,1063,2179072,0.8087201118469238,38,0.11697523295879364,2048
1.0194121599197388,0.09131798148155212,1011.757080078125,0.0,-0.0007627789163962007,1091,2236416,0.7627788782119751,39,0.09055520594120026,2048
