bc/ent_loss,bc/l2_loss,bc/samples_so_far,bc/batch,bc/l2_norm,bc/loss,bc/neglogp,bc/prob_true_act,batch_size,bc/entropy,bc/epoch
-0.002837877254933119,0.0,4096,0,128.50010681152344,2.545318603515625,2.548156499862671,0.08192673325538635,4096,2.837877035140991,0
-0.0028176098130643368,0.0,45056,10,170.8401641845703,2.2936058044433594,2.2964234352111816,0.102827288210392,4096,2.8176097869873047,0
-0.0027961102314293385,0.0,86016,20,196.7061767578125,2.079596996307373,2.082393169403076,0.1264454424381256,4096,2.796110153198242,1
-0.0027733698952943087,0.0,126976,30,208.4722900390625,1.9922951459884644,1.9950685501098633,0.14072838425636292,4096,2.773369789123535,1
-0.0027503231540322304,0.0,167936,40,213.39569091796875,1.9844242334365845,1.9871745109558105,0.14481279253959656,4096,2.7503230571746826,2
-0.0027276980690658092,0.0,208896,50,215.25335693359375,1.960007905960083,1.962735652923584,0.1478608101606369,4096,2.7276978492736816,2
-0.0027054802048951387,0.0,249856,60,215.90036010742188,1.9419667720794678,1.9446722269058228,0.1497730016708374,4096,2.7054800987243652,3
-0.0026836558245122433,0.0,290816,70,216.14599609375,1.925193428993225,1.9278770685195923,0.15178310871124268,4096,2.6836557388305664,3
-0.0026621983852237463,0.0,331776,80,216.26718139648438,1.9092416763305664,1.9119038581848145,0.15488553047180176,4096,2.662198305130005,4
-0.002641062019392848,0.0,372736,90,216.32830810546875,1.8944324254989624,1.89707350730896,0.1580185443162918,4096,2.641061782836914,4
-0.0026201691944152117,0.0,413696,100,216.3465118408203,1.8737859725952148,1.876406192779541,0.1613987684249878,4096,2.620169162750244,5
-0.0025995150208473206,0.0,454656,110,216.34642028808594,1.8630255460739136,1.865625023841858,0.16337577998638153,4096,2.599514961242676,5
-0.0025790268555283546,0.0,495616,120,216.35043334960938,1.8458770513534546,1.8484560251235962,0.1661548614501953,4096,2.579026699066162,6
-0.0025587149430066347,0.0,536576,130,216.35714721679688,1.8245795965194702,1.8271383047103882,0.16993188858032227,4096,2.5587148666381836,6
-0.0025385499466210604,0.0,577536,140,216.3621368408203,1.8185468912124634,1.8210854530334473,0.171872079372406,4096,2.5385499000549316,7
-0.0025185528211295605,0.0,618496,150,216.3605499267578,1.8042112588882446,1.806729793548584,0.17441986501216888,4096,2.518552780151367,7
-0.00249869073741138,0.0,659456,160,216.36648559570312,1.7828165292739868,1.7853152751922607,0.17823168635368347,4096,2.498690605163574,8
-0.0024790000170469284,0.0,700416,170,216.36746215820312,1.7781596183776855,1.780638575553894,0.18024860322475433,4096,2.4789998531341553,8
-0.002459464129060507,0.0,741376,180,216.3730926513672,1.7565544843673706,1.7590138912200928,0.18387186527252197,4096,2.4594640731811523,9
-0.0024400230031460524,0.0,782336,190,216.37673950195312,1.7410109043121338,1.7434508800506592,0.18677037954330444,4096,2.4400229454040527,10
-0.0024206689558923244,0.0,823296,200,216.3797149658203,1.7352745532989502,1.7376952171325684,0.18910159170627594,4096,2.420668840408325,10
-0.0024014832451939583,0.0,864256,210,216.3839111328125,1.7415484189987183,1.7439498901367188,0.18959981203079224,4096,2.4014830589294434,11
-0.0023824647068977356,0.0,905216,220,216.38571166992188,1.7032989263534546,1.7056814432144165,0.19564279913902283,4096,2.382464647293091,11
-0.0023635246325284243,0.0,946176,230,216.3968048095703,1.6976820230484009,1.7000455856323242,0.19791005551815033,4096,2.3635244369506836,12
-0.002344718435779214,0.0,987136,240,216.39712524414062,1.6768102645874023,1.6791549921035767,0.20132231712341309,4096,2.3447182178497314,12
-0.0023260137531906366,0.0,1028096,250,216.3990478515625,1.6721938848495483,1.6745198965072632,0.2040388435125351,4096,2.3260135650634766,13
-0.002307445742189884,0.0,1069056,260,216.4083251953125,1.6524367332458496,1.6547441482543945,0.20721220970153809,4096,2.307445526123047,13
-0.0022890116088092327,0.0,1110016,270,216.41175842285156,1.6349010467529297,1.6371901035308838,0.2113264501094818,4096,2.2890114784240723,14
-0.00227070739492774,0.0,1150976,280,216.41590881347656,1.6307183504104614,1.6329890489578247,0.21352297067642212,4096,2.270707368850708,14
-0.0022525000385940075,0.0,1191936,290,216.4232635498047,1.620967149734497,1.623219609260559,0.21655523777008057,4096,2.25249981880188,15
-0.0022344361059367657,0.0,1232896,300,216.42446899414062,1.6210145950317383,1.6232490539550781,0.21808187663555145,4096,2.23443603515625,15
-0.002216544933617115,0.0,1273856,310,216.4308624267578,1.595301866531372,1.5975184440612793,0.2226308137178421,4096,2.2165448665618896,16
-0.002198732690885663,0.0,1314816,320,216.44337463378906,1.6060028076171875,1.608201503753662,0.2237323373556137,4096,2.198732614517212,16
-0.00218108925037086,0.0,1355776,330,216.43991088867188,1.579801082611084,1.581982135772705,0.22838203608989716,4096,2.181089162826538,17
-0.0021635647863149643,0.0,1396736,340,216.4573974609375,1.5801141262054443,1.5822776556015015,0.23045387864112854,4096,2.163564682006836,17
-0.0021461353171616793,0.0,1437696,350,216.45431518554688,1.5533816814422607,1.5555278062820435,0.2346574068069458,4096,2.1461353302001953,18
-0.0021289242431521416,0.0,1478656,360,216.45863342285156,1.5366050004959106,1.538733959197998,0.23871737718582153,4096,2.1289241313934326,18
-0.0021118316799402237,0.0,1519616,370,216.47337341308594,1.5377250909805298,1.5398368835449219,0.24072572588920593,4096,2.1118316650390625,19
-0.002094847382977605,0.0,1560576,380,216.47036743164062,1.5346227884292603,1.5367176532745361,0.2425345629453659,4096,2.0948472023010254,20
