bc/ent_loss,bc/neglogp,bc/epoch,bc/loss,bc/samples_so_far,bc/entropy,bc/prob_true_act,bc/l2_loss,batch_size,bc/l2_norm,bc/batch
-0.002820222405716777,2.288279229117401,1,2.285459006711684,20480,2.8202223777770996,0.1126392414136509,0.0,2048,447.4097900390625,9
-0.0027990948874503374,1.9544889557872118,2,1.9516898608997615,40960,2.7990946769714355,0.14379012609424247,0.0,2048,475.8179626464844,19
-0.0027768497820943594,1.9091308127481068,3,1.9063539629660124,61440,2.7768497467041016,0.149501916507691,0.0,2048,494.5074462890625,29
-0.0027542891912162304,1.8619576622343426,4,1.8592033730431263,81920,2.754289150238037,0.1564537889415374,0.0,2048,505.8744201660156,39
-0.002731837797909975,1.8272487987986064,5,1.8245169610006964,102400,2.731837749481201,0.16199539744064717,0.0,2048,515.9140014648438,49
-0.002709604799747467,1.7994005679958267,6,1.7966909631960792,122880,2.7096047401428223,0.16655330750401998,0.0,2048,526.3756713867188,59
-0.00268761464394629,1.7785693257140927,7,1.7758817110701464,143360,2.6876144409179688,0.17034673902807024,0.0,2048,537.8822631835938,69
-0.002665842417627573,1.7493037349432186,8,1.746637892525591,163840,2.665842294692993,0.17496633135654174,0.0,2048,549.812744140625,79
-0.002644248539581895,1.7309897951997875,9,1.7283455466602056,184320,2.6442484855651855,0.17853106982813577,0.0,2048,561.3804931640625,89
-0.0026228034403175116,1.7114767359672722,10,1.7088539325269547,204800,2.622803211212158,0.18176337916734164,0.0,2048,571.215087890625,99
-0.0026015201583504677,1.680053821025026,11,1.6774523008666755,225280,2.60152006149292,0.1876438785668752,0.0,2048,581.2203369140625,109
-0.002580349100753665,1.670141623323885,12,1.6675612742231314,245760,2.5803489685058594,0.1895620854846127,0.0,2048,590.9112548828125,119
-0.0025592963211238384,1.6435270056450926,13,1.6409677093239687,266240,2.559296131134033,0.19477949537516598,0.0,2048,600.5886840820312,129
-0.0025383401662111282,1.6168210714598699,14,1.6142827312936587,286720,2.5383400917053223,0.19993433249262704,0.0,2048,610.4364013671875,139
-0.0025174543261528015,1.60481751469284,15,1.6023000603666873,307200,2.517454147338867,0.20249855609301637,0.0,2048,620.2077026367188,149
-0.002496652537956834,1.5871788413289547,16,1.5846821887909979,327680,2.496652364730835,0.20628478335069983,0.0,2048,631.0280151367188,159
-0.0024759252555668354,1.5638047694874437,17,1.561328844231877,348160,2.4759252071380615,0.2111179330030295,0.0,2048,642.4456787109375,169
-0.0024552675895392895,1.5424515982350444,18,1.5399963306455051,368640,2.4552674293518066,0.21577347311821732,0.0,2048,654.7710571289062,179
-0.0024346900172531605,1.528039026490401,19,1.5256043364731477,389120,2.434689998626709,0.21867635456799822,0.0,2048,666.7295532226562,189
-0.0024142065085470676,1.5112773954064447,20,1.5088631888978976,409600,2.4142065048217773,0.22317485363980305,0.0,2048,679.1942749023438,199
-0.0023937788791954517,1.4865671027933884,21,1.484173323914193,430080,2.3937788009643555,0.22821994740747423,0.0,2048,691.6539306640625,209
-0.0023733763955533504,1.4678347285932918,22,1.4654613521977384,450560,2.3733763694763184,0.23261995311942302,0.0,2048,703.8753051757812,219
-0.0023529769387096167,1.4464475650212605,23,1.4440945880825509,471040,2.3529767990112305,0.23774462379242345,0.0,2048,717.1357421875,229
-0.00233261426910758,1.4305632550839027,24,1.4282306408147951,491520,2.3326141834259033,0.24178871915893396,0.0,2048,730.6734619140625,239
-0.0023123028222471476,1.4040560978279315,25,1.4017437950056844,512000,2.312302827835083,0.24815135598473553,0.0,2048,745.64013671875,249
-0.0022920265328139067,1.3916934742138567,26,1.3894014476810428,532480,2.2920265197753906,0.2508354863420462,0.0,2048,761.1910400390625,259
-0.0022717867977917194,1.3665933614635546,27,1.3643215746657629,552960,2.271786689758301,0.25771794052900227,0.0,2048,777.8324584960938,269
-0.002251597121357918,1.3624309249905402,28,1.3601793278691823,573440,2.2515969276428223,0.2594422944169661,0.0,2048,793.477783203125,279
-0.002231468679383397,1.3457894629261835,29,1.3435579942468001,593920,2.231468677520752,0.26425860956851216,0.0,2048,808.9218139648438,289
-0.0022113651502877474,1.3169514576107464,30,1.3147400924604586,614400,2.211364984512329,0.27135401055609015,0.0,2048,824.840576171875,299
-0.0021912604570388794,1.3056464989838261,31,1.3034552385267872,634880,2.19126033782959,0.27398821799366707,0.0,2048,842.6932373046875,309
-0.0021711981389671564,1.2744354888116722,32,1.272264290672705,655360,2.1711981296539307,0.28280144686183156,0.0,2048,861.2210693359375,319
-0.0021511579398065805,1.2610267924169851,33,1.2588756344771785,675840,2.151157855987549,0.2870125508000901,0.0,2048,879.6616821289062,329
-0.002131139859557152,1.2471065511200483,34,1.2449754112604912,696320,2.1311397552490234,0.2919759848858643,0.0,2048,898.0805053710938,339
-0.00211116555146873,1.221921493598019,35,1.2198103280465502,716800,2.1111655235290527,0.2988853574035436,0.0,2048,917.1074829101562,349
-0.002091237111017108,1.2138242471495166,36,1.2117330100384995,737280,2.0912370681762695,0.30186384371868,0.0,2048,936.2172241210938,359
-0.002071482827886939,1.1913438104560607,37,1.1892723276281738,757760,2.0714826583862305,0.30883347140474066,0.0,2048,954.1544799804688,369
-0.0020517436787486076,1.1698866948235143,38,1.1678349511447657,778240,2.051743507385254,0.31465493281821083,0.0,2048,970.5297241210938,379
-0.0020320124458521605,1.1547902469835316,39,1.1527582345376794,798720,2.032012462615967,0.31978710877657623,0.0,2048,987.1721801757812,389
-0.0020122549030929804,1.137299131934793,40,1.1352868770317,819200,2.0122547149658203,0.3249483600713048,0.0,2048,1005.26953125,399
