bc/batch,bc/neglogp,batch_size,bc/prob_true_act,bc/samples_so_far,bc/l2_norm,bc/ent_loss,bc/loss,bc/l2_loss,bc/epoch,bc/entropy
19,1.9643634987737641,2048,0.14093769980718268,40960,470.9295959472656,-0.002807021839544177,1.96155647693422,0.0,1,2.8070216178894043
39,1.9053874723612834,2048,0.14912900497927312,81920,488.82568359375,-0.002763998694717884,1.9026234736665655,0.0,2,2.763998508453369
59,1.851695879214451,2048,0.15732996273851335,122880,493.6965637207031,-0.002721319906413555,1.8489745593080373,0.0,3,2.7213196754455566
79,1.7491994543742957,2048,0.17470990893825528,163840,502.35760498046875,-0.0026783833745867014,1.746521070999709,0.0,4,2.6783833503723145
99,1.692862175942719,2048,0.18481167676320093,204800,508.6056213378906,-0.0026347681414335966,1.6902274078012853,0.0,5,2.634768009185791
119,1.6557902248747296,2048,0.19206509391464782,245760,516.30712890625,-0.0025915666483342648,1.6531986582263953,0.0,6,2.591566562652588
139,1.6105286641075565,2048,0.20105866585491525,286720,525.2392578125,-0.0025489237159490585,1.6079797403916074,0.0,7,2.5489234924316406
159,1.574239477342425,2048,0.2085724307405456,327680,535.011962890625,-0.0025067091919481754,1.571732768150477,0.0,8,2.506709098815918
179,1.531789613692845,2048,0.2178649534897379,368640,546.2304077148438,-0.002464866265654564,1.5293247474271905,0.0,9,2.4648661613464355
199,1.4969072543457131,2048,0.22584195261312065,409600,559.2669677734375,-0.0024233032017946243,1.4944839511439185,0.0,10,2.4233031272888184
219,1.4534703073920108,2048,0.23578413198023554,450560,572.662841796875,-0.002381996950134635,1.4510883104418761,0.0,11,2.3819968700408936
239,1.4172288864818838,2048,0.24487991191629865,491520,588.2156982421875,-0.002340877428650856,1.414888009053233,0.0,12,2.3408772945404053
259,1.373705899695123,2048,0.25570739533178355,532480,603.8015747070312,-0.0022999451030045748,1.3714059545921184,0.0,13,2.2999448776245117
279,1.3381272994601936,2048,0.2650851144627166,573440,619.6890258789062,-0.002259171800687909,1.3358681276595057,0.0,14,2.259171724319458
299,1.2933350760283986,2048,0.2771853040913789,614400,635.7593383789062,-0.002218568930402398,1.2911165070979962,0.0,15,2.218568801879883
319,1.2626393511073286,2048,0.28617953507458327,655360,651.5283203125,-0.0021781083196401596,1.2604612427876885,0.0,16,2.1781082153320312
339,1.2195591313529013,2048,0.29870811738672387,696320,667.6024169921875,-0.0021377902012318373,1.2174213411516694,0.0,17,2.1377902030944824
359,1.1831600057981797,2048,0.3104960681747474,737280,683.4406127929688,-0.002097560092806816,1.1810624457053729,0.0,18,2.097559928894043
379,1.16519534701309,2048,0.31586041173680757,778240,698.8001708984375,-0.0020574352238327265,1.1631379117892573,0.0,19,2.0574350357055664
399,1.1031085369664217,2048,0.3363238253778711,819200,715.8029174804688,-0.002017692197114229,1.1010908447693075,0.0,20,2.0176920890808105
419,1.0687323840171992,2048,0.3483084579201557,860160,730.5057373046875,-0.0019778842106461525,1.066754499806553,0.0,21,1.97788405418396
439,1.0377547553026152,2048,0.36031754298919294,901120,745.8355712890625,-0.0019381295423954725,1.0358166257602197,0.0,22,1.9381294250488281
459,0.9928291399661995,2048,0.3768684189406988,942080,762.443359375,-0.0018984631169587374,0.9909306768492407,0.0,23,1.8984630107879639
479,0.9576616179931348,2048,0.3909830674077374,983040,779.4794921875,-0.0018588440725579858,0.9558027739205768,0.0,24,1.8588440418243408
499,0.9330023039071218,2048,0.4008734810879474,1024000,797.34619140625,-0.001819442491978407,0.9311828614151434,0.0,25,1.8194423913955688
519,0.8762289985992907,2048,0.42403159453755235,1064960,814.83984375,-0.001780214486643672,0.874448784112647,0.0,26,1.7802144289016724
539,0.8460646217129981,2048,0.4380565006103663,1105920,832.5706787109375,-0.0017409110441803932,0.8443237106688177,0.0,27,1.7409110069274902
559,0.8145163889309546,2048,0.4529245408722283,1146880,850.28466796875,-0.0017017602222040296,0.8128146287087505,0.0,28,1.701760172843933
579,0.7772045685826477,2048,0.47005104723388014,1187840,868.3726806640625,-0.0016627879813313484,0.7755417806013164,0.0,29,1.662787914276123
599,0.7449337161568106,2048,0.48622403215706067,1228800,887.342529296875,-0.0016238883836194873,0.7433098277731911,0.0,30,1.6238882541656494
619,0.714192737921435,2048,0.5043720752876248,1269760,907.2160034179688,-0.0015850388444960117,0.712607699076939,0.0,31,1.5850387811660767
639,0.6731132581822394,2048,0.5244340542318207,1310720,932.0018920898438,-0.0015462083974853158,0.6715670497847541,0.0,32,1.546208381652832
659,0.6359737523072013,2048,0.5449977473014715,1351680,952.893310546875,-0.0015074764378368855,0.6344662758693644,0.0,33,1.5074763298034668
679,0.5938410064874776,2048,0.5673921915584226,1392640,972.8550415039062,-0.0014687895309180021,0.5923722169565596,0.0,34,1.4687894582748413
699,0.5619828863654801,2048,0.5876919875555648,1433600,993.3135375976562,-0.0014301722403615713,0.5605527141251185,0.0,35,1.4301722049713135
719,0.5384391546661947,2048,0.6066561892627895,1474560,1015.9317016601562,-0.0013916371390223503,0.5370475175271724,0.0,36,1.3916370868682861
739,0.5094473643357524,2048,0.6241377564878734,1515520,1036.8651123046875,-0.0013534598983824253,0.50809390443737,0.0,37,1.3534598350524902
759,0.4623835903368574,2048,0.6521220259315713,1556480,1058.645751953125,-0.0013156323693692684,0.4610679579674881,0.0,38,1.3156323432922363
779,0.42114056376247766,2048,0.6807862073682727,1597440,1078.2301025390625,-0.0012775008799508214,0.41986306288252684,0.0,39,1.277500867843628
799,0.3835500347383696,2048,0.7083153681756329,1638400,1097.5413818359375,-0.0012392423814162612,0.38231079235695337,0.0,40,1.2392423152923584
819,0.35862282462462663,2048,0.728788748192917,1679360,1119.0001220703125,-0.0012009784113615751,0.35742184621326506,0.0,41,1.200978398323059
839,0.34095273985296637,2048,0.7481545488514825,1720320,1140.552001953125,-0.0011627563508227468,0.3397899835021436,0.0,42,1.162756323814392
859,0.29101130637569966,2048,0.7843620394596761,1761280,1164.0496826171875,-0.0011247260263189673,0.2898865803493807,0.0,43,1.1247259378433228
879,0.25925809449731063,2048,0.8126064836506371,1802240,1186.790771484375,-0.0010873005958274007,0.25817079390148323,0.0,44,1.0873005390167236
899,0.19784740138441562,2048,0.8540642754487574,1843200,1208.2916259765625,-0.0010497425682842731,0.19679765881613134,0.0,45,1.0497424602508545
919,0.22123311791866063,2048,0.8463662712714195,1884160,1229.243408203125,-0.0010118429781869054,0.22022127494047372,0.0,46,1.011842966079712
939,0.16285013778128096,2048,0.8911895524314815,1925120,1252.5755615234375,-0.0009743892587721348,0.16187574852250883,0.0,47,0.9743891954421997
959,0.12620666918307716,2048,0.9231022146208532,1966080,1275.0811767578125,-0.0009370907791890204,0.12526957840388814,0.0,48,0.9370907545089722
979,0.08488947354075478,2048,0.9734584809804265,2007040,1296.048828125,-0.0008994999807327986,0.08398997356002198,0.0,49,0.8994999527931213
999,0.04960868392800319,2048,1.0109570160710775,2048000,1318.57275390625,-0.0008618351421318948,0.048746848785871294,0.0,50,0.8618351221084595
1019,-0.01339128430233969,2048,1.0641784864678783,2088960,1339.5181884765625,-0.0008243623306043446,-0.014215646632944034,0.0,51,0.8243622779846191
1039,0.0010031263425782817,2048,1.0556789843799455,2129920,1361.341064453125,-0.0007868946995586157,0.00021623164301966605,0.0,52,0.786894679069519
1059,-0.06960595945196807,2048,1.1362879123576792,2170880,1382.6097412109375,-0.0007497214246541262,-0.0703556808766222,0.0,53,0.7497214078903198
1079,-0.08885777444823492,2048,1.1596695059496125,2211840,1406.7320556640625,-0.0007123393006622791,-0.0895701137488972,0.0,54,0.7123392820358276
1099,-0.14210246128725235,2048,1.2185296238613939,2252800,1437.7705078125,-0.0006747949519194663,-0.1427772562391718,0.0,55,0.6747949123382568
1119,-0.15031618832268356,2048,1.2411648144376972,2293760,1461.8486328125,-0.0006372956559062004,-0.15095348397858976,0.0,56,0.6372956037521362
1139,-0.2218338286580674,2048,1.3130811874616417,2334720,1483.56640625,-0.0006000044522807002,-0.2224338331103481,0.0,57,0.6000044345855713
1159,-0.25445098340879624,2048,1.3625793713631578,2375680,1503.1038818359375,-0.0005623588804155588,-0.2550133422892118,0.0,58,0.5623588562011719
1179,-0.17007267514262112,2048,1.290729826316356,2416640,1528.260986328125,-0.0005282051861286163,-0.17060088032874973,0.0,59,0.528205156326294
1199,-0.31493945475236457,2048,1.4545179177598018,2457600,1560.619140625,-0.000494746258482337,-0.3154342010108469,0.0,60,0.49474620819091797
1219,-0.3565681040000107,2048,1.5132027591816222,2498560,1583.9117431640625,-0.0004580935346893966,-0.3570261975347001,0.0,61,0.458093523979187
1239,-0.3953277671988936,2048,1.5829615300033844,2539520,1603.21044921875,-0.000420627387939021,-0.39574839458683264,0.0,62,0.4206273555755615
1259,-0.3716526535811341,2048,1.5854900747479317,2580480,1619.9459228515625,-0.0003828365879599005,-0.372035490169094,0.0,63,0.38283658027648926
1279,-0.4559529489292161,2048,1.6887971594029887,2621440,1638.2852783203125,-0.0003456762060523033,-0.4562986251352684,0.0,64,0.3456761837005615
1299,-0.48546449426103344,2048,1.7399223645556259,2662400,1656.3603515625,-0.00030812277691438794,-0.48577261703794783,0.0,65,0.30812275409698486
1319,-0.5409411022597388,2048,1.8116871037292057,2703360,1674.7242431640625,-0.00027035403763875365,-0.5412114562973775,0.0,66,0.2703540325164795
1339,-0.5750053756517937,2048,1.8889266485279008,2744320,1693.3731689453125,-0.00023253764084074646,-0.5752379132926344,0.0,67,0.2325376272201538
1359,-0.6005516708327328,2048,1.9587135537852143,2785280,1712.539794921875,-0.0001944342948263511,-0.6007461051275591,0.0,68,0.1944342851638794
1379,-0.6126839986557833,2048,1.9943266566524493,2826240,1730.91650390625,-0.0001566156279295683,-0.6128406142837128,0.0,69,0.15661561489105225
1399,-0.6599081438077686,2048,2.0694871503198673,2867200,1751.9326171875,-0.00012023926683468744,-0.6600283830746033,0.0,70,0.1202392578125
1419,-0.7305878610015344,2048,2.196373983257497,2908160,1770.4530029296875,-8.286810043500736e-05,-0.7306707291019694,0.0,71,0.08286809921264648
1439,-0.6920437126872869,2048,2.1741455270428514,2949120,1788.461669921875,-4.516256012720987e-05,-0.6920888752474141,0.0,72,0.04516255855560303
1459,-0.7277551016166759,2048,2.2693072212141256,2990080,1807.1396484375,-8.007526957953814e-06,-0.7277631091436338,0.0,73,0.008007526397705078
1479,-0.8125071425958258,2048,2.440319187265685,3031040,1826.414306640625,2.8694750653812662e-05,-0.812478447845172,0.0,74,-0.028694748878479004
1499,-0.25565807727031487,2048,1.6307576042598018,3072000,1854.23193359375,6.365573790390044e-05,-0.25559442153241096,0.0,75,-0.06365573406219482
1519,-0.7263679570625468,2048,2.4139701214545752,3112960,1887.100830078125,8.6319210822694e-05,-0.7262816378517241,0.0,76,-0.0863192081451416
1539,-0.896265245524444,2048,2.6627619160565104,3153920,1908.3177490234375,0.00011726058437488973,-0.8961479849400691,0.0,77,-0.11726057529449463
1559,-0.9546677710136136,2048,2.781898377491485,3194880,1923.1412353515625,0.0001534438197268173,-0.9545143271938867,0.0,78,-0.1534438133239746
1579,-0.9871291961031317,2048,2.883768670465655,3235840,1936.0894775390625,0.00019163358956575394,-0.9869375625135659,0.0,79,-0.19163358211517334
