batch_size,bc/samples_so_far,bc/loss,bc/batch,bc/prob_true_act,bc/l2_norm,bc/entropy,bc/ent_loss,bc/epoch,bc/neglogp,bc/l2_loss
2048,57344,2.113691568374634,27,0.12410131841897964,473.66650390625,2.7843756675720215,-0.002784375799819827,1,2.116476058959961,0.0
2048,114688,2.0784671306610107,55,0.12914887070655823,482.443115234375,2.726414203643799,-0.002726414240896702,2,2.081193447113037,0.0
2048,172032,2.030205488204956,83,0.13576160371303558,483.1913757324219,2.6702723503112793,-0.002670272486284375,3,2.0328757762908936,0.0
2048,229376,2.005571126937866,111,0.13997548818588257,483.7945861816406,2.615659475326538,-0.00261565949767828,4,2.0081868171691895,0.0
2048,286720,1.9705157279968262,139,0.14534009993076324,484.22784423828125,2.5625574588775635,-0.002562557579949498,5,1.9730782508850098,0.0
2048,344064,1.9397400617599487,167,0.15053020417690277,484.7625427246094,2.510754108428955,-0.002510754158720374,6,1.9422508478164673,0.0
2048,401408,1.9093453884124756,195,0.15608568489551544,485.6342468261719,2.460494041442871,-0.0024604941718280315,7,1.9118058681488037,0.0
2048,458752,1.8758058547973633,223,0.1618749052286148,486.9331970214844,2.4117822647094727,-0.0024117822758853436,8,1.8782175779342651,0.0
2048,516096,1.8610280752182007,251,0.1641823947429657,488.0420837402344,2.364342212677002,-0.0023643423337489367,9,1.8633924722671509,0.0
2048,573440,1.8284820318222046,279,0.17007900774478912,489.6161193847656,2.3186564445495605,-0.002318656537681818,10,1.8308006525039673,0.0
2048,630784,1.8048834800720215,307,0.1744997203350067,491.1786804199219,2.274702548980713,-0.0022747027687728405,11,1.8071582317352295,0.0
2048,688128,1.7920634746551514,335,0.17916341125965118,493.40509033203125,2.2323052883148193,-0.002232305472716689,12,1.7942957878112793,0.0
2048,745472,1.761370062828064,363,0.18396788835525513,496.2709045410156,2.1917738914489746,-0.00219177408143878,13,1.7635618448257446,0.0
2048,802816,1.753602147102356,391,0.1880885362625122,499.4591064453125,2.1530261039733887,-0.002153026172891259,14,1.7557551860809326,0.0
2048,860160,1.7263604402542114,419,0.1929604411125183,504.42059326171875,2.116002082824707,-0.002116002142429352,15,1.7284764051437378,0.0
2048,917504,1.7176207304000854,447,0.19582709670066833,509.59222412109375,2.0807974338531494,-0.0020807974506169558,16,1.7197015285491943,0.0
2048,974848,1.709821105003357,475,0.19901517033576965,515.9777221679688,2.047147512435913,-0.0020471476018428802,17,1.7118682861328125,0.0
2048,1032192,1.7009966373443604,503,0.20319820940494537,523.559326171875,2.0153701305389404,-0.002015370177105069,18,1.7030119895935059,0.0
2048,1089536,1.6847426891326904,531,0.20518392324447632,531.6824951171875,1.9851477146148682,-0.0019851478282362223,19,1.6867278814315796,0.0
2048,1146880,1.6368800401687622,559,0.21426671743392944,540.6366577148438,1.9566245079040527,-0.0019566246774047613,20,1.6388366222381592,0.0
2048,1204224,1.668421745300293,587,0.2144646942615509,549.710205078125,1.9293930530548096,-0.0019293931545689702,21,1.6703511476516724,0.0
2048,1261568,1.6508880853652954,615,0.21742334961891174,562.54443359375,1.9038795232772827,-0.0019038795726373792,22,1.652791976928711,0.0
2048,1318912,1.646631121635437,643,0.21150100231170654,576.468994140625,1.8795905113220215,-0.0018795905634760857,23,1.6485106945037842,0.0
2048,1376256,1.6201756000518799,671,0.21967735886573792,589.6929321289062,1.857023000717163,-0.0018570231040939689,24,1.622032642364502,0.0
2048,1433600,1.6433699131011963,699,0.22326427698135376,604.1939697265625,1.8352627754211426,-0.0018352628685534,25,1.6452051401138306,0.0
2048,1490944,1.6092294454574585,727,0.22690384089946747,621.7404174804688,1.814497709274292,-0.0018144977511838078,26,1.611043930053711,0.0
2048,1548288,1.5717233419418335,755,0.23053503036499023,641.0684814453125,1.794803261756897,-0.001794803305529058,27,1.57351815700531,0.0
2048,1605632,1.6212283372879028,783,0.22305653989315033,664.1392822265625,1.7759068012237549,-0.0017759068869054317,28,1.6230041980743408,0.0
2048,1662976,1.596688985824585,811,0.23734170198440552,690.8521118164062,1.7584514617919922,-0.0017584515735507011,29,1.5984474420547485,0.0
2048,1720320,1.5989501476287842,839,0.23526716232299805,718.4240112304688,1.7415525913238525,-0.0017415527254343033,30,1.6006916761398315,0.0
2048,1777664,1.5679371356964111,867,0.23889395594596863,748.7279663085938,1.7255923748016357,-0.0017255924176424742,31,1.5696626901626587,0.0
2048,1835008,1.5808780193328857,895,0.24144217371940613,775.239990234375,1.7101365327835083,-0.001710136653855443,32,1.5825881958007812,0.0
2048,1892352,1.5720542669296265,923,0.2359488308429718,800.380126953125,1.695953130722046,-0.0016959531931206584,33,1.5737502574920654,0.0
2048,1949696,1.5487414598464966,951,0.2469182312488556,827.3048095703125,1.6822673082351685,-0.001682267407886684,34,1.5504237413406372,0.0
2048,2007040,1.551622748374939,979,0.24716365337371826,858.0777587890625,1.6696953773498535,-0.0016696954844519496,35,1.5532923936843872,0.0
2048,2064384,1.553049087524414,1007,0.249881312251091,889.8355712890625,1.657742977142334,-0.0016577430069446564,36,1.5547068119049072,0.0
2048,2121728,1.5408415794372559,1035,0.24677342176437378,922.223876953125,1.64601731300354,-0.0016460174228996038,37,1.542487621307373,0.0
2048,2179072,1.5672125816345215,1063,0.24141719937324524,951.3351440429688,1.6344242095947266,-0.0016344243194907904,38,1.5688470602035522,0.0
2048,2236416,1.5442708730697632,1091,0.2505873441696167,981.6348876953125,1.6241834163665771,-0.0016241834964603186,39,1.5458950996398926,0.0
