bc/entropy,bc/l2_norm,bc/l2_loss,bc/prob_true_act,bc/ent_loss,bc/batch,bc/epoch,bc/neglogp,bc/samples_so_far,bc/loss,batch_size
2.837877035140991,128.50010681152344,0.0,0.07400058209896088,-0.002837877254933119,0,0,2.628138780593872,4096,2.625300884246826,4096
2.7900078296661377,202.69862365722656,0.0,0.1396145224571228,-0.002790007973089814,24,2,1.9701035022735596,102400,1.967313528060913,4096
2.733501434326172,215.30606079101562,0.0,0.1605369746685028,-0.0027335016056895256,48,4,1.8330421447753906,200704,1.8303086757659912,4096
2.6789073944091797,216.516845703125,0.0,0.16965478658676147,-0.0026789074763655663,72,6,1.7765655517578125,299008,1.7738866806030273,4096
2.62648344039917,216.64207458496094,0.0,0.17770424485206604,-0.0026264835614711046,96,8,1.7307909727096558,397312,1.7281644344329834,4096
2.5754356384277344,216.6663818359375,0.0,0.18605534732341766,-0.0025754356756806374,120,10,1.6852452754974365,495616,1.6826698780059814,4096
2.525306224822998,216.6715545654297,0.0,0.19457241892814636,-0.0025253063067793846,144,12,1.6407127380371094,593920,1.6381874084472656,4096
2.4758572578430176,216.6809844970703,0.0,0.20310309529304504,-0.0024758572690188885,168,14,1.5983805656433105,692224,1.5959047079086304,4096
2.4269495010375977,216.6898956298828,0.0,0.2122330665588379,-0.0024269495625048876,192,16,1.5546048879623413,790528,1.552177906036377,4096
2.378499984741211,216.70079040527344,0.0,0.22178606688976288,-0.0023785000666975975,216,18,1.5110845565795898,888832,1.5087060928344727,4096
2.330465316772461,216.71278381347656,0.0,0.23096367716789246,-0.0023304654750972986,240,20,1.471177101135254,987136,1.4688466787338257,4096
2.2828054428100586,216.7255401611328,0.0,0.24055203795433044,-0.002282805508002639,264,22,1.4310765266418457,1085440,1.4287936687469482,4096
2.235516309738159,216.73727416992188,0.0,0.25091052055358887,-0.0022355164401233196,288,24,1.3891725540161133,1183744,1.3869370222091675,4096
2.188586711883545,216.75282287597656,0.0,0.2615634799003601,-0.002188586862757802,312,26,1.3483421802520752,1282048,1.3461536169052124,4096
2.141996145248413,216.76805114746094,0.0,0.27138257026672363,-0.0021419962868094444,336,28,1.312220573425293,1380352,1.3100786209106445,4096
2.095764636993408,216.7843475341797,0.0,0.2830047607421875,-0.002095764735713601,360,30,1.2706143856048584,1478656,1.2685185670852661,4096
2.04988169670105,216.8021697998047,0.0,0.29505905508995056,-0.0020498817320913076,384,32,1.229543685913086,1576960,1.2274937629699707,4096
2.0043585300445557,216.82144165039062,0.0,0.30584096908569336,-0.002004358684644103,408,34,1.1949208974838257,1675264,1.1929165124893188,4096
1.9592117071151733,216.84068298339844,0.0,0.3165513575077057,-0.001959211891517043,432,36,1.1615276336669922,1773568,1.159568428993225,4096
1.9144442081451416,216.8615264892578,0.0,0.32947099208831787,-0.0019144442630931735,456,38,1.1226904392242432,1871872,1.1207759380340576,4096
1.8700480461120605,216.88168334960938,0.0,0.3426121473312378,-0.0018700481159612536,480,40,1.0841068029403687,1970176,1.0822367668151855,4096
1.826048731803894,216.90501403808594,0.0,0.3544382154941559,-0.0018260488286614418,504,42,1.0519211292266846,2068480,1.0500950813293457,4096
1.7824692726135254,216.92347717285156,0.0,0.3679686486721039,-0.0017824693350121379,528,44,1.0140552520751953,2166784,1.012272834777832,4096
1.739309310913086,216.95062255859375,0.0,0.3800617754459381,-0.0017393094021826982,552,46,0.9849053621292114,2265088,0.9831660389900208,4096
1.696580171585083,216.9730987548828,0.0,0.3937890827655792,-0.0016965802060440183,576,48,0.9495676755905151,2363392,0.9478710889816284,4096
1.6543161869049072,216.99818420410156,0.0,0.4070793092250824,-0.0016543163219466805,600,50,0.9182518720626831,2461696,0.9165975451469421,4096
1.6125024557113647,217.02432250976562,0.0,0.4231095314025879,-0.0016125024994835258,624,52,0.8808703422546387,2560000,0.87925785779953,4096
1.5711643695831299,217.04566955566406,0.0,0.4369024634361267,-0.0015711644664406776,648,54,0.8481676578521729,2658304,0.8465964794158936,4096
1.5303226709365845,217.07691955566406,0.0,0.4514329731464386,-0.0015303227119147778,672,56,0.8191466331481934,2756608,0.8176162838935852,4096
1.4899895191192627,217.09664916992188,0.0,0.4678109884262085,-0.0014899895759299397,696,58,0.7833312153816223,2854912,0.7818412184715271,4096
1.4501527547836304,217.12364196777344,0.0,0.48271888494491577,-0.0014501528348773718,720,60,0.7534056901931763,2953216,0.751955509185791,4096
1.4108381271362305,217.15480041503906,0.0,0.49725839495658875,-0.0014108382165431976,744,62,0.727576732635498,3051520,0.7261658906936646,4096
1.3720815181732178,217.17935180664062,0.0,0.511993408203125,-0.00137208157684654,768,64,0.6989912986755371,3149824,0.6976191997528076,4096
1.3338910341262817,217.20889282226562,0.0,0.530335009098053,-0.0013338910648599267,792,66,0.667504072189331,3248128,0.6661701798439026,4096
1.296212911605835,217.23382568359375,0.0,0.5453921556472778,-0.0012962130131199956,816,68,0.637967586517334,3346432,0.6366713643074036,4096
1.2591047286987305,217.26840209960938,0.0,0.5634996891021729,-0.0012591048143804073,840,70,0.611126720905304,3444736,0.6098676323890686,4096
1.222560167312622,217.29359436035156,0.0,0.5771440267562866,-0.0012225601822137833,864,72,0.587390124797821,3543040,0.586167573928833,4096
1.1866189241409302,217.32069396972656,0.0,0.5959930419921875,-0.0011866189306601882,888,74,0.5571277141571045,3641344,0.555941104888916,4096
1.1511952877044678,217.3393096923828,0.0,0.6079666614532471,-0.0011511953780427575,912,76,0.530923068523407,3739648,0.5297718644142151,4096
