bc/entropy,bc/l2_norm,bc/l2_loss,bc/prob_true_act,bc/ent_loss,bc/batch,bc/epoch,bc/neglogp,bc/samples_so_far,bc/loss,batch_size
2.5716443061828613,216.39236450195312,0.0,0.19430726766586304,-0.0025716444943100214,0,0,1.6450955867767334,4096,1.6425238847732544,4096
2.5208840370178223,216.39981079101562,0.0,0.2033328413963318,-0.0025208841543644667,24,2,1.6007797718048096,102400,1.5982588529586792,4096
2.4707908630371094,216.40972900390625,0.0,0.21310433745384216,-0.0024707908742129803,48,4,1.5547614097595215,200704,1.552290678024292,4096
2.42122483253479,216.4185791015625,0.0,0.22485053539276123,-0.00242122495546937,72,6,1.5006616115570068,299008,1.498240351676941,4096
2.3720765113830566,216.42861938476562,0.0,0.23436997830867767,-0.0023720767349004745,96,8,1.4605965614318848,397312,1.4582245349884033,4096
2.323275566101074,216.4413299560547,0.0,0.24574735760688782,-0.002323275664821267,120,10,1.4138914346694946,495616,1.4115681648254395,4096
2.274799108505249,216.4547119140625,0.0,0.2566561996936798,-0.002274799160659313,144,12,1.3716583251953125,593920,1.3693835735321045,4096
2.2266087532043457,216.4688262939453,0.0,0.26809632778167725,-0.00222660880535841,168,14,1.3294801712036133,692224,1.3272535800933838,4096
2.1786980628967285,216.48291015625,0.0,0.27819496393203735,-0.002178698079660535,192,16,1.2950074672698975,790528,1.2928287982940674,4096
2.1310606002807617,216.4987030029297,0.0,0.2914973199367523,-0.0021310606971383095,216,18,1.2487621307373047,888832,1.2466310262680054,4096
2.0836856365203857,216.51641845703125,0.0,0.3051607012748718,-0.002083685714751482,240,20,1.203932285308838,987136,1.2018486261367798,4096
2.0365488529205322,216.533935546875,0.0,0.31939569115638733,-0.0020365489181131124,264,22,1.158879041671753,1085440,1.1568424701690674,4096
1.9896520376205444,216.5548858642578,0.0,0.3344162404537201,-0.00198965216986835,288,24,1.114094853401184,1183744,1.1121052503585815,4096
1.9430341720581055,216.57489013671875,0.0,0.34643128514289856,-0.0019430342363193631,312,26,1.082534909248352,1282048,1.0805919170379639,4096
1.896647572517395,216.5955810546875,0.0,0.3650781512260437,-0.0018966476200148463,336,28,1.0281062126159668,1380352,1.0262095928192139,4096
1.850525140762329,216.61749267578125,0.0,0.3789626955986023,-0.0018505252664908767,360,30,0.9942708015441895,1478656,0.9924202561378479,4096
1.8046767711639404,216.64242553710938,0.0,0.3948865234851837,-0.0018046768382191658,384,32,0.9561761617660522,1576960,0.9543715119361877,4096
1.7591021060943604,216.66464233398438,0.0,0.41021430492401123,-0.0017591022187843919,408,34,0.9210460782051086,1675264,0.9192869663238525,4096
1.7138068675994873,216.69093322753906,0.0,0.4284861087799072,-0.0017138069961220026,432,36,0.8783230781555176,1773568,0.8766092658042908,4096
1.6688268184661865,216.718505859375,0.0,0.4457474946975708,-0.0016688269097357988,456,38,0.8412726521492004,1871872,0.839603841304779,4096
1.624133825302124,216.7435302734375,0.0,0.46575960516929626,-0.0016241339035332203,480,40,0.7991044521331787,1970176,0.7974803447723389,4096
1.5797476768493652,216.7729949951172,0.0,0.48253941535949707,-0.0015797477681189775,504,42,0.7693115472793579,2068480,0.767731785774231,4096
1.5356446504592896,216.79702758789062,0.0,0.5009148120880127,-0.001535644754767418,528,44,0.7333106398582458,2166784,0.7317749857902527,4096
1.4919291734695435,216.82861328125,0.0,0.5222612023353577,-0.0014919292880222201,552,46,0.6951068639755249,2265088,0.6936149597167969,4096
1.4485156536102295,216.85528564453125,0.0,0.5393578410148621,-0.0014485156862065196,576,48,0.6658666133880615,2363392,0.66441810131073,4096
1.4054619073867798,216.8921661376953,0.0,0.5674592852592468,-0.0014054619241505861,600,50,0.618084728717804,2461696,0.6166792511940002,4096
1.3627690076828003,216.9169158935547,0.0,0.586209774017334,-0.0013627690495923162,624,52,0.5858045816421509,2560000,0.5844418406486511,4096
1.320482611656189,216.9505157470703,0.0,0.6083962917327881,-0.0013204826973378658,648,54,0.5554080009460449,2658304,0.5540875196456909,4096
1.27858304977417,216.9881134033203,0.0,0.6332130432128906,-0.0012785830767825246,672,56,0.5219995975494385,2756608,0.5207210183143616,4096
1.237055778503418,217.01461791992188,0.0,0.6561861038208008,-0.0012370558688417077,696,58,0.48622286319732666,2854912,0.4849857985973358,4096
1.19596266746521,217.05282592773438,0.0,0.6754369139671326,-0.0011959627736359835,720,60,0.46752798557281494,2953216,0.46633201837539673,4096
1.1552543640136719,217.0815887451172,0.0,0.7057595252990723,-0.0011552544310688972,744,62,0.41800743341445923,3051520,0.4168521761894226,4096
1.1150193214416504,217.1128692626953,0.0,0.7285014986991882,-0.0011150193167850375,768,64,0.39135846495628357,3149824,0.39024344086647034,4096
1.0752332210540771,217.14801025390625,0.0,0.7569823265075684,-0.0010752332163974643,792,66,0.3545983135700226,3248128,0.3535230755805969,4096
1.0358964204788208,217.18524169921875,0.0,0.7820517420768738,-0.001035896479152143,816,68,0.33145368099212646,3346432,0.33041778206825256,4096
0.9969942569732666,217.21725463867188,0.0,0.8071838617324829,-0.0009969943203032017,840,70,0.30479496717453003,3444736,0.30379796028137207,4096
0.9586288928985596,217.2625274658203,0.0,0.8423479795455933,-0.0009586289525032043,864,72,0.26729828119277954,3543040,0.26633965969085693,4096
0.920714259147644,217.2906494140625,0.0,0.8609024286270142,-0.00092071428662166,888,74,0.25513535737991333,3641344,0.25421464443206787,4096
0.8832917809486389,217.3265380859375,0.0,0.8975399732589722,-0.0008832918247207999,912,76,0.2058069407939911,3739648,0.20492364466190338,4096
